year,haul_date,species,fmp_subarea,gear_type,extrapolated_weight
2020,2020-06-12T00:00:00Z,330,CG,1,3450.79
2020,2020-05-14T00:00:00Z,330,CG,2,376.64
2020,2020-06-15T00:00:00Z,330,CG,1,408.95
2020,2020-06-06T00:00:00Z,330,CG,1,4878.46
2020,2020-06-09T00:00:00Z,330,CG,1,191.35
2020,2020-07-30T00:00:00Z,330,WG,1,1584.73
2020,2020-08-24T00:00:00Z,330,WG,1,379.5
2020,2020-07-08T00:00:00Z,330,CG,1,122.85
2020,2020-06-10T00:00:00Z,330,CG,1,137.42
2020,2020-10-28T00:00:00Z,330,CG,1,467.61
2020,2020-06-01T00:00:00Z,330,CG,1,659.94
2020,2020-07-09T00:00:00Z,330,WG,1,191.57
2020,2020-06-25T00:00:00Z,330,CG,1,822.44
2020,2020-05-13T00:00:00Z,330,CG,1,73.88
2020,2020-07-06T00:00:00Z,330,WY,1,2812.77
2020,2020-07-05T00:00:00Z,330,WY,1,92.86
2020,2020-07-04T00:00:00Z,330,CG,1,2864.96
2020,2020-08-25T00:00:00Z,330,WG,8,5.85
2020,2020-07-09T00:00:00Z,330,WG,1,3725.39
2020,2020-06-22T00:00:00Z,330,CG,1,1014.89
2020,2020-05-06T00:00:00Z,330,CG,1,3844.94
2020,2020-06-28T00:00:00Z,330,CG,1,120.25
2020,2020-05-26T00:00:00Z,330,CG,1,5722.72
2020,2020-05-19T00:00:00Z,330,CG,2,207.18
2020,2020-05-12T00:00:00Z,330,CG,1,85.75
2020,2020-07-04T00:00:00Z,330,CG,1,573.47
2020,2020-06-11T00:00:00Z,330,CG,1,11.27
2020,2020-06-09T00:00:00Z,330,CG,1,217.88
2020,2020-06-18T00:00:00Z,330,CG,1,58
2020,2020-06-28T00:00:00Z,330,CG,1,653.28
2020,2020-05-27T00:00:00Z,330,CG,1,317.35
2020,2020-05-05T00:00:00Z,330,CG,1,2.9
2020,2020-06-18T00:00:00Z,330,CG,1,79.08
2020,2020-06-15T00:00:00Z,330,CG,1,295.8
2020,2020-06-12T00:00:00Z,330,CG,1,2441.55
2020,2020-06-22T00:00:00Z,330,CG,1,172.85
2020,2020-10-25T00:00:00Z,330,CG,1,127.5
2020,2020-06-05T00:00:00Z,330,CG,1,6667.25
2020,2020-07-03T00:00:00Z,330,CG,1,3067.45
2020,2020-06-08T00:00:00Z,330,CG,1,3768.93
2020,2020-07-14T00:00:00Z,330,WG,1,104.77
2020,2020-08-23T00:00:00Z,330,WG,1,508.25
2020,2020-08-22T00:00:00Z,330,WG,1,1040.92
2020,2020-08-28T00:00:00Z,330,WG,1,248.41
2020,2020-07-11T00:00:00Z,330,WY,1,2220.79
2020,2020-06-20T00:00:00Z,330,CG,1,118.51
2020,2020-04-16T00:00:00Z,330,CG,1,88.9
2020,2020-08-03T00:00:00Z,330,WG,1,559
2020,2020-08-05T00:00:00Z,330,WG,1,1135.58
2020,2020-07-30T00:00:00Z,330,WY,1,5357.88
2020,2020-07-05T00:00:00Z,330,CG,1,1002.8
2020,2020-05-30T00:00:00Z,330,CG,1,823.2
2020,2020-06-23T00:00:00Z,330,CG,1,65.82
2020,2020-05-05T00:00:00Z,330,CG,1,506.27
2020,2020-06-26T00:00:00Z,330,CG,2,3023.55
2020,2020-08-31T00:00:00Z,330,WG,1,137.16
2020,2020-07-28T00:00:00Z,330,CG,1,65.3
2020,2020-07-26T00:00:00Z,330,WG,1,3193.68
2020,2020-05-17T00:00:00Z,330,CG,1,2733.51
2020,2020-05-19T00:00:00Z,330,CG,1,9704.32
2020,2020-05-19T00:00:00Z,330,CG,1,90.65
2020,2020-06-07T00:00:00Z,330,CG,1,29833.92
2020,2020-06-12T00:00:00Z,330,CG,1,129.11
2020,2020-06-24T00:00:00Z,330,CG,1,1151.04
2020,2020-06-28T00:00:00Z,330,CG,1,350.7
2020,2020-07-03T00:00:00Z,330,CG,1,129.68
2020,2020-07-05T00:00:00Z,330,CG,1,16645.55
2020,2020-07-07T00:00:00Z,330,WG,1,570.72
2020,2020-06-26T00:00:00Z,330,CG,1,503.63
2020,2020-06-26T00:00:00Z,330,CG,2,1925.36
2020,2020-06-29T00:00:00Z,330,CG,2,2064.5
2020,2020-07-01T00:00:00Z,330,CG,1,78.38
2020,2020-07-02T00:00:00Z,330,CG,1,24.14
2020,2020-05-25T00:00:00Z,330,CG,1,824.33
