"","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1961",19.369,15.093,14.642,18.555,18.53,8.4925,8.5232,9.8475,9.8802,11.35
"1962",19.501,19.054,18.436,12.432,12.586,9.6844,9.7317,9.342,9.2965,14.224
"1963",23.428,19.51,18.694,11.34,11.504,15.652,15.689,8.9807,8.8754,15.047
"1964",27.053,15.204,14.41,13.855,14.068,15.51,15.6,9.1518,8.9902,10.895
"1965",26.617,16.077,15.179,20.526,20.81,10.839,10.936,10.397,10.158,8.8038
"1966",31.414,24.794,23.401,16.242,16.568,11.303,11.408,14.119,13.791,9.0702
"1967",35.953,48.936,45.816,14.344,14.648,13.223,13.355,13.817,13.382,10.338
"1968",25.42,21.107,19.704,19.076,19.483,16.467,16.661,10.486,10.075,11.287
"1969",26.126,22.85,21.171,38.406,39.34,31.448,31.801,12.282,11.762,13.852
"1970",37.265,22.789,21.089,15.928,16.315,16.511,16.736,24.353,23.355,17.958
"1971",25.564,24.931,23.353,18.218,18.67,15.887,16.102,30.907,29.567,15.197
"1972",43.823,45.881,41.821,26.02,26.761,25.868,26.219,13.501,12.844,55.242
"1973",34.516,22.159,20.931,21.408,21.887,16.576,16.793,13.849,13.197,21.149
"1974",25.196,43.097,39.247,45.603,46.952,35.228,35.759,17.788,16.958,17.856
"1975",19.614,27.59,25.448,13.95,14.274,19.587,19.85,23.053,21.85,22.007
"1976",40.561,20.449,18.76,34.708,35.771,31.06,31.534,26.308,25.032,17.399
"1977",21.406,25.076,22.67,18.306,18.832,30.182,30.68,48.989,46.262,22.098
"1978",47.93,28.27,26.13,17.273,17.829,11.578,11.75,13.644,12.953,63.429
"1979",35.091,52.28,46.925,17.709,18.221,19.059,19.38,24.573,23.143,46.51
"1980",49.27,19.081,17.953,41.283,42.654,22.525,22.903,13.282,12.565,23.867
"1981",31.079,71.224,63.947,34.617,35.719,26.844,27.301,23.363,21.99,18.441
"1982",24.49,27.822,25.465,36.57,37.735,35.75,36.375,17.248,16.283,24.058
"1983",39.936,27.332,24.565,51.62,53.419,46.888,47.716,46.521,43.674,31.572
"1984",23.825,27.699,25.02,15.235,15.699,35.124,35.763,27.696,26.079,46.145
"1985",17.51,25.465,22.848,18.832,19.521,22.481,22.903,46.538,43.478,16.454
"1986",35.064,20.75,18.568,20.695,21.449,20.092,20.494,15.364,14.399,69.372
"1987",49.328,25.32,22.59,18.231,18.933,15.922,16.242,20.894,19.39,31.977
"1988",21.584,33.159,29.442,15.883,16.507,19.932,20.366,15.286,14.207,16.015
"1989",45.007,33.419,29.518,18.537,19.299,15.769,16.118,20.046,18.473,21.672
"1990",54.774,34.908,30.815,27.569,28.747,13.565,13.876,8.2851,7.6812,25.583
"1991",53.62,55.304,48.504,24.179,25.234,14.871,15.23,20.72,18.991,9.1577
"1992",41.737,62.747,54.94,44.118,46.126,20.507,21.01,10.324,9.4609,22.828
"1993",41.042,30.085,26.303,46.349,48.495,45.999,47.183,11.045,10.086,13.967
"1994",17.429,49.537,43.021,28.673,30.047,39.356,40.399,33.158,30.126,15.578
"1995",16.006,21.072,18.319,35.817,37.579,24.739,25.414,50.634,45.852,9.8782
"1996",8.4984,17.568,15.19,21.696,22.783,35.687,36.682,22.912,20.689,58.651
"1997",9.1158,10.247,8.8292,15.5,16.295,31.646,32.582,20.093,18.07,39.393
"1998",11.569,5.8715,5.08,14.619,15.41,13.122,13.504,43.443,38.858,22.455
"1999",12.909,10.083,8.6242,4.451,4.6802,17.477,18.02,20.265,18.068,25.766
"2000",15.723,10.519,8.97,3.8965,4.1059,10.615,10.96,11.386,10.114,44.944
"2001",16.006,10.389,8.8475,8.2613,8.7438,3.6178,3.7291,16.637,14.706,19.383
"2002",13.194,13.85,11.698,6.6265,7.0126,3.9306,4.0607,8.5838,7.5372,13.248
"2003",7.07,13.324,11.229,8.3974,8.9113,7.3913,7.6532,3.3088,2.9197,17.464
"2004",12.892,10.142,8.4965,8.6,9.1372,5.7875,5.9918,3.3493,2.9342,9.0985
"2005",8.7518,5.4985,4.6543,8.9678,9.5443,7.5184,7.7977,6.181,5.3597,3.3903
"2006",9.3075,10.017,8.2932,6.9111,7.3777,8.2407,8.5617,5.0153,4.338,3.4471
"2007",4.4741,7.2087,6.0828,3.6938,3.9284,7.265,7.5524,6.8103,5.8452,6.7323
"2008",5.8627,7.8225,6.5859,6.4108,6.8762,6.6367,6.9203,7.5632,6.4279,5.0153
"2009",5.5837,3.9226,3.4075,5.0701,5.4044,3.4095,3.5434,6.7518,5.7279,7.3469
"2010",7.6335,5.1528,4.4788,5.5235,5.8904,6.4942,6.7909,6.0499,5.0687,7.863
"2011",7.9538,4.9457,4.3316,2.9668,3.1283,4.6841,4.8744,3.2206,2.7363,7.0687
"2012",13.278,6.5782,5.8075,3.8303,4.0387,5.1678,5.3828,5.5217,4.5846,6.2617
"2013",13.215,6.8711,6.0964,3.7529,3.9463,2.7419,2.8351,4.1349,3.4986,3.672
"2014",NA,12.438,11.53,5.2086,5.4631,3.558,3.6795,4.531,3.8226,6.3526
"2015",NA,NA,11.607,5.4639,5.7189,3.4704,3.5825,2.497,2.1684,5.3289
"2016",NA,NA,NA,10.411,10.72,4.5864,4.7268,3.179,2.7615,7.0175
