age,sd
2,0.2589814244042111
3,0.29154295341947417
4,0.3241044824347372
5,0.3566660114500003
6,0.38922754046526337
7,0.4217890694805264
8,0.4543505984957895
9,0.48691212751105256
10,0.5194736565263156
11,0.5520351855415786
12,0.5845967145568417
13,0.6171582435721048
14,0.6497197725873678
15,0.6822813016026309
16,0.714842830617894
17,0.747404359633157
18,0.7799658886484201
19,0.8125274176636832
20,0.8450889466789462
21,0.8776504756942093
22,0.9102120047094723
23,0.9427735337247354
24,0.9753350627399985
25,1.0078965917552614
26,1.0404581207705246
27,1.0730196497857878
28,1.1055811788010508
29,1.1381427078163138
30,1.1707042368315768
31,1.2032657658468398
32,1.235827294862103
33,1.2683888238773662
34,1.3009503528926292
35,1.3335118819078922
36,1.3660734109231552
37,1.3986349399384181
38,1.4311964689536811
39,1.4637579979689446
40,1.4963195269842076
41,1.5288810559994706
42,1.5614425850147335
43,1.5940041140299965
44,1.6265656430452595
45,1.6591271720605225
46,1.691688701075786
47,1.724250230091049
48,1.756811759106312
49,1.789373288121575
50,1.821934817136838
51,1.854496346152101
52,1.8870578751673643
53,1.9196194041826273
54,1.9521809331978903
55,1.9847424622131533
56,2.0173039912284163
57,2.0498655202436793
58,2.0824270492589427
59,2.1149885782742057
60,2.1475501072894687
61,2.1801116363047317
62,2.2126731653199947
63,2.2452346943352577
64,2.277796223350521
65,2.310357752365784
66,2.342919281381047
67,2.37548081039631
68,2.408042339411573
69,2.440603868426836
70,2.4731653974420995
71,2.5057269264573625
72,2.5382884554726255
73,2.5708499844878885
74,2.6034115135031515
75,2.6359730425184145
76,2.668534571533678
77,2.701096100548941
78,2.733657629564204
79,2.766219158579467
80,2.79878068759473
81,2.831342216609993
82,2.863903745625256
83,2.8964652746405193
84,2.9290268036557823
85,2.9615883326710453
86,2.9941498616863083
87,3.0267113907015712
88,3.0592729197168342
89,3.0918344487320977
90,3.1243959777473607
91,3.1569575067626237
92,3.1895190357778866
93,3.2220805647931496
94,3.2546420938084126
95,3.287203622823676
96,3.319765151838939
97,3.352326680854202
98,3.384888209869465
99,3.417449738884728
100,3.450011267899991
