year,n_s,n_h,SA_Index,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1984,4235,50,1,0.009754982198112902,0.007210195022815509,0.005089546104839769,0.008103862465769676,0.005835827198119962,0.004638757977660432,0.0028380628496294863,0.005302208394355933,0.007775194860402417,0.016806153620187805,0.022300630868938284,0.026623460076743717,0.04513730967657198,0.0518948664752546,0.0893639197199151,0.09515814092089635,0.10216426036372059,0.09300129506786749,0.07449872964716815,0.059504964897587956,0.050873782431422834,0.057936619350319386,0.04867465268313488,0.1095125771285648
1987,9584,82,1,0.0035137571733953295,0.003778470002796939,0.004793046552634926,0.004297239875961136,0.0049523486073864914,0.008020934569495888,0.0093842929657459,0.009938061768997634,0.011621800957746843,0.013068866134668268,0.015078436910351203,0.015045952072949845,0.017330309298128583,0.02247547975863658,0.04375012880412679,0.0713935007288691,0.11780206477559375,0.13971587552891843,0.13044024484019887,0.12169560950108486,0.0866154436021889,0.06748531561800993,0.034175967936357216,0.043626852015756605
1990,3091,48,1,5.930619178607992e-4,0,2.032622453191572e-4,0,5.522288381245795e-4,6.581351064426887e-4,0.0013337135982554188,0.0034156073523750673,0.005470854786137305,0.011785874494196212,0.01127058924322723,0.029738704283975466,0.024340813741706498,0.016590043882573766,0.017138930394023134,0.012779587109662555,0.022357640583171266,0.03818048535039759,0.08996622456936032,0.12564217335405145,0.13895319040507273,0.11823588069035566,0.10161317825482528,0.2291798197988858
1993,4384,106,1,1.27502411406528e-4,2.788904646327583e-4,6.638212555643793e-4,0.0011009945978661686,5.522145249456238e-4,4.8674609322982027e-4,6.470961222120593e-4,0.0015445767572487188,0.002608025666372794,0.0032662027564393545,0.006553381590624335,0.005278331556166413,0.006831844368778498,0.007761719014519632,0.0069475400413365465,0.012218283402556982,0.014581361358461858,0.04107030485297791,0.0552439902759647,0.09073703664463109,0.14667384661542854,0.16123697945776483,0.12314314569237095,0.31044616447849954
1996,4239,131,1,4.106518939566862e-4,3.2122706222441127e-4,7.69829384771041e-4,0.00098751147516590765,5.326044978158699e-4,9.10573453270952e-4,7.306539584861348e-4,0.002106481536303909,0.0023080671569869664,0.002001605400312505,0.0031228212905579384,0.006985271689380438,0.008210163217876211,0.005519055614977018,0.008025841898040828,0.00903587699749145,0.01598735508379352,0.020331049910407753,0.026695288601698616,0.03414749674579362,0.05946017944909567,0.12127844679438929,0.11779369585152898,0.5523282510356743
1999,3471,124,1,1.5768602599728018e-4,2.332607982665462e-4,1.3125017558145602e-4,4.7644162963404534e-4,6.748324078605763e-4,7.845128535476653e-4,0.0011917185165206258,0.0016878190094935573,0.0033860818930920703,0.0017976246498860055,0.0021632920274598246,0.006066121656116547,0.001966390407307565,0.0056320254882714586,0.001826841140599805,0.002562972829721202,0.002323185433788436,0.02677807343752074,0.030912157454560756,0.03540701637187305,0.05383309733088084,0.07774793491086415,0.1282488137233349,0.6140108498278208
2001,3810,106,1,3.2212687874247895e-4,6.613155625030977e-4,4.1719413749666734e-4,0.002685230507223409,0.0024562241632527207,0.0015147996334341116,0.0014971426231523883,0.0016424129845147059,0.0012367873102237803,0.0020160653956050804,0.001909154447151087,0.003938083884336401,0.004910741027196741,0.0079742200042,0.00513706670986753,0.009536685286223806,0.010561713779438186,0.023168239578621526,0.017175260986879416,0.05303739623205979,0.05102517729453027,0.12134726501503174,0.12685151743218603,0.548978179126129
2003,2941,126,1,3.5376145245642017e-4,0,1.885297600948825e-4,0,5.367660283939837e-4,0.001094260851527164,0.0012559878559694993,0.0024771782767269903,0.003848646223244155,0.005795369404271526,0.006977958369121789,0.0181141354128846,0.011210212017031087,0.007195698019276357,0.009894045800883114,0.014797590615608161,0.020749224201159707,0.03964640168390651,0.06409899593434999,0.07677550202690071,0.06306231922560915,0.07826592980748674,0.07062652083656078,0.5030349661965366
2005,4556,147,1,4.703459605897816e-5,1.1155127683139081e-4,1.7751540710450036e-4,1.3287486246882021e-5,4.47782777196565e-5,1.988940859755203e-4,2.39998646709844e-4,2.861767934102783e-4,1.2417514003729586e-4,0.0014564021511553732,3.796349514829577e-4,8.184200019390314e-4,0.0011796463006890773,0.0013344382531753705,0.06349230723788483,0.034142165860508666,0.011743368155136836,0.01306146876031472,0.021140603479009985,0.02547497598341954,0.03146619234397631,0.05202593784428967,0.05540389682204323,0.68563713014488
2007,4723,139,1,6.495793197016086e-5,0,3.172713806875912e-5,3.439130776197975e-5,1.0299271348046693e-4,0,1.0299271348046693e-4,1.6762678111744323e-4,8.164080065694184e-5,4.148702108094248e-4,0.0020273675925687063,0.0022923503055580947,0.0060699771428505776,0.0021506635153176242,0.006399944776504559,0.003348136465156441,0.007194437963195155,0.017760538822035942,0.038092340684474084,0.0618399088247876,0.06991319506688459,0.08366268954454084,0.09269127147028235,0.6055559782284978
2009,2849,132,1,7.109075922073813e-4,0.001142987787440523,3.5545379610369066e-4,0.0010645227028854185,9.316477614445574e-4,7.141062520602933e-4,5.667067837363117e-4,6.150565945742047e-4,0.0011700349588498393,4.916470751470625e-4,0.001061052048147055,0.0014822959671438013,0.0025683497851615757,0.002152502244692191,0.0018365529857515045,0.007718290066508516,0.006376376099644043,0.013091701345742567,0.011777933409624635,0.032202965020598225,0.03969906790507896,0.05623543215793137,0.08154892992696948,0.7344854797325567
