"x"
27.7
73.8
138.4
215.1
297.6
380.9
461.4
536.8
605.8
667.7
722.5
770.6
812.3
848.3
879.1
905.4
927.8
946.8
962.8
976.3
987.7
997.3
1005.3
1012.1
1017.7
1022.5
1026.4
1029.8
1032.5
1034.9
1036.8
1038.4
1039.8
1040.9
1041.9
1042.7
1043.3
1043.9
1044.3
1044.7
1045
1045.3
1045.5
1045.7
1045.9
1046
1046.1
1046.2
1046.3
1046.5
