"age","sample_size","Lbar","SD_Lbar"
2,17,13.8140108955601,3.39036064220848
3,50,16.6603713644615,2.33789772617477
4,61,20.4033550226973,2.30326577007839
5,151,23.970826156851,2.39540549004027
6,160,26.5070211051211,2.19136617429062
7,210,29.0480176274471,2.51694274686631
8,284,31.4462677464214,2.27179413014426
9,342,33.2064458685448,1.98045898444466
10,329,34.4053499416391,1.89358720243855
11,352,35.3697396620975,1.97595848840462
12,260,36.1067588863729,1.93189874215479
13,245,36.9524194170988,1.97551662775227
14,199,37.486904969902,1.87764693138731
15,172,37.7067295100317,1.97141868510822
16,194,38.4573447699597,2.09214989495618
17,169,38.9525690697777,2.06497199766581
18,166,39.1184501121686,2.14176367208834
19,129,39.4388822280639,1.89335128564338
20,186,39.4021534587567,2.42786814807102
21,163,39.7200523378742,2.00842289252363
22,132,39.9708747312544,2.37887332161363
23,142,40.2267305932952,2.24704359862986
24,129,40.6847219152968,2.09286991510094
25,122,40.4174995246027,2.35135775414549
26,101,40.0517093152183,2.42778035048584
27,99,40.6044550636469,2.28038958920068
28,101,40.347587219656,2.74478852247334
29,108,40.8278822295271,2.04980468630193
30,82,41.1046170331346,2.24974044253785
31,80,41.0161458081029,2.80959613898386
32,96,40.8195412762053,2.26066002532401
33,81,41.0043501152448,2.43703053727691
34,75,40.8550913981207,2.323863811564
35,88,40.9737037926434,2.32797174066087
36,81,40.9900426562363,2.18549990576562
37,73,41.2818664312636,2.37157318943972
38,59,41.5756814335591,1.94370582175586
39,54,41.6563690626185,2.5588633749862
40,63,41.6099910758791,2.27128157105326
41,43,41.3709909389762,1.83394484436433
42,37,42.0486750666356,1.98491526026206
43,31,40.9914733790339,2.04467759943019
44,38,41.4325364707821,2.59778873835154
45,26,41.6820501413035,2.3453013510288
46,23,41.2785593330126,2.15883719110059
47,18,42.3047170339166,1.97750535124864
48,8,41.4800786093702,2.38725400411743
49,11,40.9102130779925,3.08342027038876
50,7,40.3867154078836,3.31970445195381
51,6,40.3526583800355,2.04345463027263
52,10,40.6742075844473,2.51516755238581
53,6,40.4960769142352,3.21953204758825
54,6,41.2457967770501,1.55653039923882
55,2,41.7359824633537,2.46431743675571
56,3,41.9656850150261,2.30872481730071
57,4,41.6643625910641,0.820955166926813
58,2,40.9184211930356,2.50794235307012
