"age","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38"
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,9e-04,0.0035,0.0111,0.029,0.9553
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,9e-04,0.0034,0.011,0.0287,0.9558
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,9e-04,0.0034,0.0109,0.0285,0.9561
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,9e-04,0.0033,0.0108,0.0283,0.9565
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,8e-04,0.0033,0.0107,0.0281,0.9569
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,8e-04,0.0033,0.0106,0.028,0.9571
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,8e-04,0.0033,0.0106,0.0279,0.9572
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,8e-04,0.0033,0.0105,0.0278,0.9574
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,8e-04,0.0033,0.0105,0.0277,0.9575
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,8e-04,0.0032,0.0105,0.0276,0.9577
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,8e-04,0.0032,0.0105,0.0276,0.9577
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,8e-04,0.0032,0.0104,0.0275,0.9579
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,8e-04,0.0032,0.0104,0.0275,0.9579
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,8e-04,0.0032,0.0104,0.0275,0.9579
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,8e-04,0.0032,0.0104,0.0274,0.958
