"age","ages_sd"
2,0.25898025383395
3,0.291541917503966
4,0.324103581173982
5,0.356665244843998
6,0.389226908514014
7,0.42178857218403
8,0.454350235854046
9,0.486911899524062
10,0.519473563194077
11,0.552035226864093
12,0.584596890534109
13,0.617158554204125
14,0.649720217874141
15,0.682281881544157
16,0.714843545214173
17,0.747405208884188
18,0.779966872554204
19,0.81252853622422
20,0.845090199894236
21,0.877651863564252
22,0.910213527234268
23,0.942775190904284
24,0.9753368545743
25,1.00789851824432
26,1.04046018191433
27,1.07302184558435
28,1.10558350925436
29,1.13814517292438
30,1.17070683659439
31,1.20326850026441
32,1.23583016393443
33,1.26839182760444
34,1.30095349127446
35,1.33351515494447
36,1.36607681861449
37,1.39863848228451
38,1.43120014595452
39,1.46376180962454
40,1.49632347329455
41,1.52888513696457
42,1.56144680063459
43,1.5940084643046
44,1.62657012797462
45,1.65913179164463
46,1.69169345531465
47,1.72425511898466
48,1.75681678265468
49,1.7893784463247
50,1.82194010999471
51,1.85450177366473
52,1.88706343733474
53,1.91962510100476
54,1.95218676467478
55,1.98474842834479
56,2.01731009201481
57,2.04987175568482
58,2.08243341935484
59,2.11499508302485
60,2.14755674669487
61,2.18011841036489
62,2.2126800740349
63,2.24524173770492
64,2.27780340137493
65,2.31036506504495
66,2.34292672871497
67,2.37548839238498
68,2.408050056055
69,2.44061171972501
70,2.47317338339503
71,2.50573504706505
72,2.53829671073506
73,2.57085837440508
74,2.60342003807509
75,2.63598170174511
76,2.66854336541512
77,2.70110502908514
78,2.73366669275516
79,2.76622835642517
80,2.79879002009519
81,2.8313516837652
82,2.86391334743522
83,2.89647501110524
84,2.92903667477525
85,2.96159833844527
86,2.99416000211528
87,3.0267216657853
88,3.05928332945532
89,3.09184499312533
90,3.12440665679535
91,3.15696832046536
92,3.18952998413538
93,3.22209164780539
94,3.25465331147541
95,3.28721497514543
96,3.31977663881544
97,3.35233830248546
98,3.38489996615547
99,3.41746162982549
100,3.45002329349551
