Age,SS,Wbar,SD_Wbar
3,50,69.30080038634443,28.726830042030482
4,62,131.54161564427497,44.566311588437365
5,155,216.90079741107382,67.93637342172252
6,162,294.5843246266389,80.70056754433335
7,220,375.8028060487987,97.0708850053391
8,289,468.8401316792128,99.91545654131325
9,350,546.8958107001597,112.72203405096988
10,336,605.7741210049433,110.98692086503853
11,362,662.8021291672034,139.02644075540402
12,276,707.4096548926021,135.8249452849111
13,256,765.8309110141529,143.84054301786912
14,203,793.4847562910019,144.47117411382771
15,178,810.621799624738,159.33688967208104
16,208,872.4293111890851,176.811296068807
17,178,894.8904562454914,168.91968419437146
18,179,897.2431173706415,176.39123995393655
19,149,942.6860138916877,186.34748757038415
20,211,940.2798419362487,212.28262244305202
21,185,944.3275563592201,177.6253838186298
22,158,988.3630270116408,203.59555017468892
23,160,990.5178293696164,204.13198438380633
24,144,1027.4857151507863,190.18962234502163
25,147,1023.7567532877237,205.33273155654805
26,112,1010.362852833696,205.15615750118647
27,116,1046.5995098184633,208.75439957900306
28,108,1017.8307554500368,219.37558255558562
29,118,1042.392413186662,203.59270846474297
30,97,1069.2598680038209,191.3581973136897
31,93,1069.992441255619,198.56278199635864
32,103,1033.5711548446484,192.0967811876281
33,92,1071.2602062670344,198.91861903960046
34,92,1055.4183559053279,185.85395744546014
35,103,1058.2531286654269,204.2260689123546
36,91,1061.2145409145487,202.55643196422523
37,83,1059.1175266662558,185.9844050350228
38,67,1128.203535583419,226.13787801414836
39,66,1120.7957911871447,220.60736216019495
40,70,1101.4694603749012,214.63467086455006
41,50,1085.2196293048564,169.14059927407902
42,49,1143.6054697549348,151.52991932670477
43,38,1056.4743185294299,186.86151154841536
44,45,1083.01806706435,186.52711990498653
45,36,1145.4726084230533,168.9382238618776
