age,ages_sd
2,0.2589802538339504
3,0.2915419175039663
4,0.3241035811739822
5,0.35666524484399803
6,0.3892269085140139
7,0.42178857218402976
8,0.45435023585404566
9,0.48691189952406155
10,0.5194735631940774
11,0.5520352268640933
12,0.5845968905341092
13,0.617158554204125
14,0.6497202178741409
15,0.6822818815441567
16,0.7148435452141726
17,0.7474052088841885
18,0.7799668725542044
19,0.8125285362242203
20,0.8450901998942362
21,0.8776518635642521
22,0.910213527234268
23,0.9427751909042839
24,0.9753368545742997
25,1.0078985182443154
26,1.0404601819143313
27,1.0730218455843472
28,1.105583509254363
29,1.138145172924379
30,1.170706836594395
31,1.2032685002644108
32,1.2358301639344267
33,1.2683918276044426
34,1.3009534912744585
35,1.3335151549444744
36,1.3660768186144903
37,1.3986384822845062
38,1.4312001459545218
39,1.4637618096245377
40,1.4963234732945536
41,1.5288851369645695
42,1.5614468006345854
43,1.5940084643046013
44,1.6265701279746172
45,1.659131791644633
46,1.691693455314649
47,1.7242551189846649
48,1.7568167826546808
49,1.7893784463246964
50,1.8219401099947123
51,1.8545017736647282
52,1.8870634373347441
53,1.91962510100476
54,1.952186764674776
55,1.9847484283447918
56,2.0173100920148075
57,2.0498717556848236
58,2.0824334193548393
59,2.114995083024855
60,2.147556746694871
61,2.1801184103648867
62,2.212680074034903
63,2.245241737704919
64,2.2778034013749346
65,2.3103650650449503
66,2.3429267287149664
67,2.375488392384982
68,2.4080500560549982
69,2.440611719725014
70,2.47317338339503
71,2.5057350470650457
72,2.538296710735062
73,2.5708583744050775
74,2.6034200380750936
75,2.6359817017451093
76,2.668543365415125
77,2.701105029085141
78,2.7336666927551567
79,2.766228356425173
80,2.7987900200951885
81,2.8313516837652046
82,2.8639133474352203
83,2.8964750111052364
84,2.929036674775252
85,2.961598338445268
86,2.994160002115284
87,3.0267216657852996
88,3.0592833294553157
89,3.0918449931253313
90,3.1244066567953475
91,3.156968320465363
92,3.1895299841353792
93,3.222091647805395
94,3.254653311475411
95,3.2872149751454267
96,3.319776638815443
97,3.3523383024854585
98,3.384899966155474
99,3.4174616298254903
100,3.450023293495506
