age	sample_size	Lbar	SD_Lbar
2	18	14.067655905483768	3.1365561427091015
3	50	16.433783223033757	2.251787962930024
4	62	20.30920605157731	2.427725452665475
5	155	23.9522257588869	2.4241027291379074
6	162	26.581780260067212	2.2065279709799324
7	220	29.009847645678093	2.4240407745112607
8	289	31.129987775054417	2.2163279728548937
9	350	32.8843852721891	2.007803674039866
10	336	34.11556920831532	2.024456502127055
11	362	35.09200352106611	2.0655627200235847
12	276	35.923371836187236	2.0061387294069406
13	256	36.76478283494103	2.0772973280750193
14	203	37.3006437928131	1.9866146369266224
15	178	37.604869241837996	2.0561682610659275
16	208	38.41194909489401	2.236165763543249
17	178	38.974356056520755	2.2135477735235685
18	179	39.10938993585768	2.398126280094604
19	149	39.552861358222366	2.072549442424891
20	211	39.53705350703575	2.6181986957868455
21	185	39.779846377670644	2.1693018415481453
22	158	40.238570952811926	2.540501630950143
23	160	40.35732670627861	2.3898737691501464
24	144	40.9771547017753	2.217419399156524
25	147	40.639979375305714	2.4652841765070055
26	112	40.38948837584944	2.6301831046616964
27	116	40.966866952080494	2.473876473097938
28	108	40.678551416346295	2.9820485743997542
29	118	41.08484223329318	2.253111129503254
30	97	41.36631294791542	2.512777893323406
31	93	41.43967269138611	2.9861037793254313
32	103	41.10972785684057	2.333281015255536
33	92	41.38730500552829	2.575661329173452
34	92	41.27167779194931	2.484679763418857
35	103	41.39584499889896	2.4184396639321717
36	91	41.32977485497842	2.348761114286893
37	83	41.713769054584425	2.4586071347025573
38	67	42.07671383146231	2.094539973243083
39	66	42.124296587581874	2.740987999864683
40	70	42.09944398245703	2.3272260476251674
41	50	41.73239181167674	2.018403431714408
42	49	42.44655605702789	1.9325642144112114
43	38	41.555995066133406	2.172778879179152
44	45	41.82281109819685	2.644641281352894
45	36	42.314346041178354	2.2873198435583486
46	28	41.69282555630598	2.102620429908977
47	22	42.72000887449818	1.9063243160637215
48	10	41.730044218744894	2.4376011280350087
49	16	41.2748607629822	3.123607159630959
50	11	41.48174788724494	3.565761007849894
51	7	41.05081725891643	2.3742463563367195
52	12	41.04727633465776	2.7860535476596584
53	7	40.85279163807911	3.1582905145414797
54	6	41.47260851914485	1.711525370595206
55	2	42.47520898505181	3.077138845226443
56	5	41.53596388216946	2.5890443619751897
57	4	41.74881066292312	0.9161378452438497
58	3	40.97003249551406	2.4448831418815984
