cruisejoin,region,survey_name,hauljoin,end_latitude,end_longitude,bottom_depth,abundance_haul,stratum,gear_temperature,performance,species_code,sex,length,frequency,year
245,GOA,GOA TRIENNIAL SURVEY,23913,53.779500000000006,-164.11982999999998,210,Y,210,NA,0,30420,1,310,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23913,53.779500000000006,-164.11982999999998,210,Y,210,NA,0,30420,1,320,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23913,53.779500000000006,-164.11982999999998,210,Y,210,NA,0,30420,1,340,3,1990
245,GOA,GOA TRIENNIAL SURVEY,23913,53.779500000000006,-164.11982999999998,210,Y,210,NA,0,30420,2,320,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23913,53.779500000000006,-164.11982999999998,210,Y,210,NA,0,30420,2,330,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23941,54.7595,-160.03717,75,Y,13,NA,0,30420,1,240,2,1990
245,GOA,GOA TRIENNIAL SURVEY,23941,54.7595,-160.03717,75,Y,13,NA,0,30420,1,170,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23941,54.7595,-160.03717,75,Y,13,NA,0,30420,1,320,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23941,54.7595,-160.03717,75,Y,13,NA,0,30420,1,150,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23941,54.7595,-160.03717,75,Y,13,NA,0,30420,1,190,2,1990
245,GOA,GOA TRIENNIAL SURVEY,23941,54.7595,-160.03717,75,Y,13,NA,0,30420,1,200,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23941,54.7595,-160.03717,75,Y,13,NA,0,30420,1,210,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23941,54.7595,-160.03717,75,Y,13,NA,0,30420,1,220,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23941,54.7595,-160.03717,75,Y,13,NA,0,30420,1,230,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23941,54.7595,-160.03717,75,Y,13,NA,0,30420,1,250,3,1990
245,GOA,GOA TRIENNIAL SURVEY,23941,54.7595,-160.03717,75,Y,13,NA,0,30420,1,300,2,1990
245,GOA,GOA TRIENNIAL SURVEY,23941,54.7595,-160.03717,75,Y,13,NA,0,30420,1,330,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23941,54.7595,-160.03717,75,Y,13,NA,0,30420,1,350,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23941,54.7595,-160.03717,75,Y,13,NA,0,30420,2,240,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23941,54.7595,-160.03717,75,Y,13,NA,0,30420,2,250,3,1990
245,GOA,GOA TRIENNIAL SURVEY,23941,54.7595,-160.03717,75,Y,13,NA,0,30420,2,260,3,1990
245,GOA,GOA TRIENNIAL SURVEY,23941,54.7595,-160.03717,75,Y,13,NA,0,30420,2,280,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23941,54.7595,-160.03717,75,Y,13,NA,0,30420,2,350,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23942,54.72967,-160.06567,79,Y,13,NA,0,30420,1,370,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23942,54.72967,-160.06567,79,Y,13,NA,0,30420,1,380,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23942,54.72967,-160.06567,79,Y,13,NA,0,30420,1,150,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23942,54.72967,-160.06567,79,Y,13,NA,0,30420,1,210,2,1990
245,GOA,GOA TRIENNIAL SURVEY,23942,54.72967,-160.06567,79,Y,13,NA,0,30420,1,220,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23942,54.72967,-160.06567,79,Y,13,NA,0,30420,1,250,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23942,54.72967,-160.06567,79,Y,13,NA,0,30420,1,270,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23942,54.72967,-160.06567,79,Y,13,NA,0,30420,1,280,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23947,54.702169999999995,-158.893,93,Y,13,4.1,0,30420,2,250,2,1990
245,GOA,GOA TRIENNIAL SURVEY,23947,54.702169999999995,-158.893,93,Y,13,4.1,0,30420,2,260,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23947,54.702169999999995,-158.893,93,Y,13,4.1,0,30420,2,290,4,1990
245,GOA,GOA TRIENNIAL SURVEY,23947,54.702169999999995,-158.893,93,Y,13,4.1,0,30420,2,300,5,1990
245,GOA,GOA TRIENNIAL SURVEY,23947,54.702169999999995,-158.893,93,Y,13,4.1,0,30420,2,310,3,1990
245,GOA,GOA TRIENNIAL SURVEY,23947,54.702169999999995,-158.893,93,Y,13,4.1,0,30420,2,330,4,1990
245,GOA,GOA TRIENNIAL SURVEY,23947,54.702169999999995,-158.893,93,Y,13,4.1,0,30420,2,340,11,1990
245,GOA,GOA TRIENNIAL SURVEY,23947,54.702169999999995,-158.893,93,Y,13,4.1,0,30420,2,350,8,1990
245,GOA,GOA TRIENNIAL SURVEY,23947,54.702169999999995,-158.893,93,Y,13,4.1,0,30420,2,360,12,1990
245,GOA,GOA TRIENNIAL SURVEY,23947,54.702169999999995,-158.893,93,Y,13,4.1,0,30420,2,370,6,1990
245,GOA,GOA TRIENNIAL SURVEY,23947,54.702169999999995,-158.893,93,Y,13,4.1,0,30420,2,380,4,1990
245,GOA,GOA TRIENNIAL SURVEY,23947,54.702169999999995,-158.893,93,Y,13,4.1,0,30420,2,410,2,1990
245,GOA,GOA TRIENNIAL SURVEY,23949,54.69433,-158.40633,194,Y,122,NA,0,30420,1,360,2,1990
245,GOA,GOA TRIENNIAL SURVEY,23949,54.69433,-158.40633,194,Y,122,NA,0,30420,2,300,3,1990
245,GOA,GOA TRIENNIAL SURVEY,23949,54.69433,-158.40633,194,Y,122,NA,0,30420,1,290,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23949,54.69433,-158.40633,194,Y,122,NA,0,30420,1,300,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23949,54.69433,-158.40633,194,Y,122,NA,0,30420,1,310,3,1990
245,GOA,GOA TRIENNIAL SURVEY,23949,54.69433,-158.40633,194,Y,122,NA,0,30420,1,320,2,1990
245,GOA,GOA TRIENNIAL SURVEY,23949,54.69433,-158.40633,194,Y,122,NA,0,30420,1,350,2,1990
245,GOA,GOA TRIENNIAL SURVEY,23949,54.69433,-158.40633,194,Y,122,NA,0,30420,1,380,1,1990
245,GOA,GOA TRIENNIAL SURVEY,23949,54.69433,-158.40633,194,Y,122,NA,0,30420,2,310,4,1990
245,GOA,GOA TRIENNIAL SURVEY,23949,54.69433,-158.40633,194,Y,122,NA,0,30420,2,320,2,1990
245,GOA,GOA TRIENNIAL SURVEY,23949,54.69433,-158.40633,194,Y,122,NA,0,30420,2,340,1,1990
