"year","biom","se","lci","uci","pred"
1984,40781.95608,8495.982308,24130,57434,56665.5
1987,70043.57965,12980.89481,44601,95486,73732.5
1990,71459.66748,16721.1601,38686,104233,87388.9
1993,77360.68898,16118.72059,45768,108953,94281.9
1996,113688.3054,24727.18946,65223,162154,95402.8
1999,85655.92874,19867.79058,46715,124597,94055.2
2001,115326.3747,28389.35734,59683,170970,90462.5
2003,76825.34523,17290.994,42935,110716,89866.6
2005,156192.3129,32924.93697,91659,220725,88928.8
2007,122568.2021,26635.80129,70362,174774,87963
2009,64622.97203,14551.45939,36102,93144,85532.1
2011,110715.4644,28977.48641,53920,167511,80316.9
2013,140044.7792,36137.0232,69216,210873,72399.9
2015,73372.16122,18734.53529,36652,110092,63326.8
2017,130134.2474,32997.22473,65460,194809,55632.7
2019,128534.0892,36471.77878,57049,200019,50370.3
