"","2021","2022"
"1961",10.779,11.542
"1962",10.41,14.533
"1963",10.144,15.221
"1964",10.504,10.718
"1965",12.151,8.6043
"1966",17.033,8.8579
"1967",17.529,10.077
"1968",13.02,10.918
"1969",15.129,13.343
"1970",29.968,17.261
"1971",41.619,14.388
"1972",15.432,52.94
"1973",16.727,20.002
"1974",22.175,16.974
"1975",28.609,20.927
"1976",31.956,16.408
"1977",60.988,20.924
"1978",15.434,59.534
"1979",28.529,43.662
"1980",15.385,22.158
"1981",27.449,17.161
"1982",18.108,22.312
"1983",53.431,28.939
"1984",30.431,42.287
"1985",52.614,15.339
"1986",16.935,63.124
"1987",23.182,28.994
"1988",17.18,14.503
"1989",21.531,19.499
"1990",9.5787,22.857
"1991",21.923,8.2183
"1992",10.822,20.204
"1993",11.794,12.398
"1994",34.052,13.696
"1995",51.857,8.7168
"1996",23.863,51.368
"1997",20.108,34.432
"1998",43.417,19.558
"1999",20.57,22.365
"2000",11.076,38.847
"2001",17.121,16.716
"2002",8.1083,11.392
"2003",3.472,14.916
"2004",3.2991,7.7439
"2005",6.2919,2.8949
"2006",4.8288,2.9187
"2007",6.9183,5.6214
"2008",7.3549,4.189
"2009",6.9645,6.0542
"2010",5.8568,6.4512
"2011",3.4415,5.7809
"2012",5.5717,5.1032
"2013",5.3943,3.0234
"2014",6.6358,5.1341
"2015",4.3561,4.4178
"2016",5.9895,5.918
"2017",6.6589,4.117
"2018",8.2336,5.7627
"2019",9.1339,6.46
"2020",10.316,7.8192
"2021",10.313,8.778
"2022",NA,9.819
