"","2019","2020","2021","2022"
"1961",50684,54440,54830,52189
"1962",49362,53080,53455,50819
"1963",46972,50645,51004,48374
"1964",43010,46618,46962,44346
"1965",36549,40079,40402,37810
"1966",27493,30946,31240,28670
"1967",22834,26144,26422,23871
"1968",20458,23615,23882,21382
"1969",18802,21791,22048,19653
"1970",18038,20820,21070,18810
"1971",18152,20686,20931,18769
"1972",17821,20072,20313,18156
"1973",17717,19745,19984,17605
"1974",18294,20205,20447,17587
"1975",19272,21146,21395,17827
"1976",20599,22497,22756,18322
"1977",22353,24385,24661,19280
"1978",25038,27382,27680,21387
"1979",27990,30830,31156,24115
"1980",31087,34488,34844,27377
"1981",34305,38192,38580,30988
"1982",37391,41709,42131,34471
"1983",39495,44400,44859,36896
"1984",41617,47456,47957,39407
"1985",44692,51754,52299,43218
"1986",47981,56382,56973,47775
"1987",51153,60741,61377,52651
"1988",54271,64665,65343,57460
"1989",57343,68092,68812,61723
"1990",60565,71335,72099,65441
"1991",63967,74685,75495,68867
"1992",66133,77000,77860,71045
"1993",66454,77809,78721,71854
"1994",67391,79418,80378,73870
"1995",67145,79828,80831,75129
"1996",66498,79626,80664,75964
"1997",66549,79812,80878,77104
"1998",66660,79709,80797,77740
"1999",66842,79266,80373,77752
"2000",66369,77683,78810,76279
"2001",67420,77279,78429,75549
"2002",69111,77442,78625,74932
"2003",71011,78073,79298,74504
"2004",72026,78257,79533,73719
"2005",72853,78724,80054,73627
"2006",73164,79128,80510,73941
"2007",72468,78904,80332,74079
"2008",71280,78389,79852,74344
"2009",69394,77192,78676,74261
"2010",66959,75301,76793,73639
"2011",64163,72787,74272,72361
"2012",61402,70001,71469,70623
"2013",57821,66132,67577,67525
"2014",54393,62253,63669,64082
"2015",51335,58689,60076,60669
"2016",48502,55377,56736,57319
"2017",45953,52421,53753,54230
"2018",44191,50320,51626,51975
"2019",42197,48039,49320,49547
"2020",NA,45659,46915,47015
"2021",NA,NA,44801,44738
"2022",NA,NA,NA,42555
