"name","1984","1987","1990","1993","1996","1999","2001","2003","2005","2007","2009","2011","2013","2015","2017","2019"
"2",0,0,0,3e-04,0.0025,0,1e-04,0,0,1e-04,0,0,0,0,0,0
"3",0,0.0033,6e-04,0.0028,0.0025,1e-04,0.005,6e-04,1e-04,0,0,0,0,0,1e-04,4e-04
"4",0,0.0179,0.0019,0.0031,0.0013,0.0016,0.0025,0.0015,0.0011,0,4e-04,0.0014,0,0,4e-04,0
"5",0.0142,0.0552,0.0291,0.0085,0.0021,0.0105,0.0055,0.0347,0.0014,8e-04,0.0027,1e-04,1e-04,1e-04,0.0011,0.003
"6",0.0398,0.0405,0.0542,0.0108,0.0112,0.0027,0.0131,0.021,0.0144,0.0068,2e-04,1e-04,0.0011,0.001,0.0016,0.0017
"7",0.0912,0.0296,0.0265,0.011,0.0057,0.0094,0.0405,0.0144,0.037,0.0037,0.0069,3e-04,0.0044,0.0058,0.0023,0.0043
"8",0.1905,0.0028,0.0408,0.0638,0.0207,0.0089,0.0157,0.0963,0.0519,0.0286,0.0152,0.0019,0.0035,0.0058,0.0094,0.0098
"9",0.1116,0.0288,0.0538,0.1202,0.0411,0.0423,0.0384,0.1262,0.0467,0.0907,0.0224,0.0031,0.0017,0.0056,0.0075,0.0198
"10",0.0514,0.1011,0.0447,0.0655,0.0531,0.0277,0.0725,0.0564,0.0611,0.0575,0.0506,0.0149,0.0061,0.0231,0.0028,0.0382
"11",0.0458,0.1121,0.0577,0.1031,0.0853,0.0793,0.0605,0.036,0.0466,0.0743,0.0706,0.0191,0.0231,0.0108,0.0146,0.0138
"12",0.0259,0.1116,0.0352,0.0445,0.0759,0.0692,0.0398,0.0291,0.0333,0.0634,0.053,0.0226,0.0277,0.007,0.0151,0.0231
"13",0.0707,0.0344,0.0536,0.0489,0.0773,0.0542,0.0627,0.0213,0.0111,0.0828,0.0596,0.0402,0.0321,0.012,0.0106,0.0248
"14",0.067,0.0428,0.0824,0.0401,0.0403,0.0562,0.0489,0.0514,0.0209,0.031,0.0625,0.0393,0.038,0.0196,0.0106,0.0089
"15",0.0626,0.014,0.0971,0.0243,0.0329,0.0782,0.0502,0.0333,0.0119,0.0175,0.0379,0.0208,0.0518,0.0502,0.0142,0.0126
"16",0.0396,0.0366,0.0508,0.0519,0.0388,0.0916,0.0539,0.0427,0.0197,0.026,0.0338,0.0291,0.0697,0.0547,0.0298,0.0254
"17",0.0192,0.1031,0.0508,0.0313,0.0165,0.0156,0.0445,0,0.0321,0.0202,0.0206,0.0593,0.0444,0.0727,0.0427,0.032
"18",0.0186,0.0409,0.0067,0.0396,0.0341,0.0721,0.0582,0.0176,0.0306,0.0103,0.0335,0.0167,0.0703,0.0552,0.0383,0.0433
"19",0.0057,0.0798,0.0112,0.028,0.0545,0.0188,0.0288,0.0296,0.0081,0.0201,0.0325,0.0164,0.0312,0.0299,0.0372,0.0456
"20",0.0075,0.0272,0.0656,0.004,0.0879,0.013,0.0221,0.0611,0.0387,0.0278,0.0274,0.0235,0.0366,0.045,0.04,0.0393
"21",0.0033,0.0255,0.0663,0.0232,0.0277,0.03,0.0165,0.0119,0.0464,0.0328,0.0162,0.0221,0.0129,0.0662,0.0563,0.0789
"22",0.0097,0.007,0.0458,0.034,0.0307,0.0219,0.0116,0.0205,0.0186,0.0379,0.0099,0.0289,0.0228,0.0222,0.0398,0.0318
"23",0.0314,0.0065,0.0192,0.0444,0.0303,0.0251,0.0266,0.0106,0.0125,0.049,0.0273,0.0211,0.0295,0.0272,0.0442,0.0463
"24",0.0209,0.0029,0.0089,0.0445,0.0334,0.0303,0.0448,0.0066,0.0117,0.011,0.0409,0.0394,0.033,0.0139,0.0137,0.0497
"25",0.0064,0.0039,0.0097,0.0464,0.0269,0.0196,0.0287,0.0135,0.0212,0.0116,0.0459,0.0311,0.0297,0.0254,0.0225,0.0377
"26",0.0032,0.0174,0.0337,0.0069,0.0522,0.015,0.0424,0.0253,0.0252,0.0138,0.0265,0.0147,0.0112,0.02,0.014,0.0239
"27",0.0103,0.0258,0.0064,0.0168,0.0136,0.0335,0.0122,0.0299,0.0217,0.0267,0.0169,0.0468,0.0327,0.0234,0.0268,0.0124
"28",0.0035,0.012,0.0117,0.0222,0.0147,0.0248,0.009,0.0539,0.0374,0.0282,0.0141,0.034,0.0321,0.024,0.0262,0.0153
"29",0.0091,0.0031,0.0018,0.0057,0.0275,0.024,0.0242,0.0345,0.0358,0.0298,0.0301,0.0179,0.0354,0.0172,0.0256,0.0157
"30",0,0.0023,0.0098,0,0.0057,0.0165,0.0206,0.0156,0.0383,0.0333,0.0135,0.0268,0.0151,0.0267,0.013,0.0055
"31",0.004,0.0052,0.0096,0.0024,0.0075,0.0239,0.0137,0,0.0231,0.0243,0.0116,0.0232,0.0375,0.0214,0.0137,0.015
"32",0.0135,0,0.009,0.0095,0.0042,0.0454,0.0189,0,0.0398,0.0157,0.0246,0.022,0.0021,0.0289,0.0459,0.0264
"33",0.0026,0.002,0.0054,0.0054,0.0145,0.0101,0.0108,0.0415,0.0182,0.0101,0.0222,0.0246,0.0139,0.0253,0.0335,0.0267
"34",0,0.0031,0,0.0056,0.0075,0.0083,0.008,0.0099,0.0464,0.0195,0.0105,0.0302,0.0239,0.014,0.0205,0.0177
"35",0.0026,2e-04,0,0.0056,0.0048,0,0.0167,0.0123,0.0272,0.0144,0.0122,0.0523,0.0088,0.0205,0.0413,0.028
"36",0,0,0,0.0094,0,0.0029,0.0038,0.0069,0.0241,0.0233,0.0211,0.0357,0.031,0.0177,0.0347,0.0066
"37",0.004,0,0,0.0012,0.0066,0,2e-04,0.0189,0.0114,0.0086,0.0194,0.0351,0.0357,0.035,0.0257,0.0097
"38",0,0,0,0,0,0,0,0,0.0051,0.0135,0.028,0.0391,0.017,0.0103,0.0247,0.0296
"39",0,0,0,0.0138,0.0017,0.0124,0.0017,0.0033,0.0109,0.0048,0.0132,0.0167,0.0195,0.0199,0.03,0.0117
"40",0.0061,0,0,0.0016,0,0.0018,0.0105,0.0114,0.0112,0.0096,0.0103,0.0192,0.0119,0.0351,0.0303,0.0237
"41",0.0047,0,0,0,0,0.003,0.0091,0,0.0044,0.0036,0.0081,0.0304,0.0177,0.018,0.0173,0.0213
"42",0,0.0011,0,0,0.0029,0,0,0,0,0.0014,0.0065,0.0281,0.0231,0.0117,0.0107,0.0109
"43",0.0035,0,0,0,0.0041,0,0,0,0.0041,0.0022,0.0054,0.0143,0.0068,0.0093,0.013,0.0158
"44",0,1e-04,0,0,0,0,0,0,0.0132,0.003,0.0069,0.0079,0.0027,0.0158,0.0301,0.0216
"45+",0,0,0,0,0,0,0.0069,0,0.0257,0.01,0.029,0.0295,0.0523,0.0523,0.0682,0.0724
"n_s",356,497,331,242,462,278,466,216,417,605,651,430,495,465,462,368
"n_h",6,17,12,17,19,27,85,22,72,82,69,74,68,56,80,64
