"name","1991","1992","1993","1994","1995","1996","1997","2003","2007","2009","2011","2013","2015","2017","2019"
"15",0,0,0,0,1e-04,0,0,0,0,0,0,0,1e-04,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,1e-04,0,1e-04,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,2e-04,0,0,0,0,0,4e-04,0,0,0,0
"21",2e-04,0,0,0,1e-04,0,0,0,0,0,0,0,0,3e-04,0
"22",2e-04,0,0,1e-04,4e-04,0,0,2e-04,0,0,0,0,0,0,0
"23",4e-04,0,0,0,7e-04,0,0,0,1e-04,0,2e-04,5e-04,1e-04,3e-04,0
"24",6e-04,0,1e-04,0,0.0021,3e-04,0.0015,5e-04,1e-04,0,2e-04,6e-04,3e-04,6e-04,4e-04
"25",0.002,1e-04,4e-04,0,0.0042,3e-04,0.0065,8e-04,3e-04,2e-04,2e-04,6e-04,7e-04,0,0.0015
"26",0.003,2e-04,9e-04,1e-04,0.0068,0,0.0139,0.0013,4e-04,3e-04,0,0.0012,6e-04,6e-04,0.0011
"27",0.0035,3e-04,0.001,6e-04,0.0092,0.0011,0.0201,0.0022,0.0013,8e-04,4e-04,0.0012,0.0014,0.0014,0.0015
"28",0.0073,0.0011,0.0021,0.0017,0.008,0.0016,0.0211,0.0025,0.0017,7e-04,4e-04,0.0016,0.0022,0.002,0.0017
"29",0.0103,0.0028,0.0053,0.0036,0.0102,0.0028,0.0211,0.0068,0.0024,7e-04,0.001,0.0028,0.0045,0.0096,0.0011
"30",0.0229,0.0063,0.0104,0.007,0.0128,0.0067,0.0192,0.0116,0.0073,0.0043,8e-04,0.003,0.0053,0.0065,0.0032
"31",0.0408,0.015,0.0237,0.0166,0.0153,0.0062,0.0144,0.0305,0.0089,0.0086,0.0021,0.0056,0.0093,0.0099,0.0061
"32",0.0717,0.0321,0.0459,0.0302,0.0213,0.0132,0.015,0.0453,0.0234,0.0104,0.0049,0.0036,0.0102,0.0139,0.0054
"33",0.1232,0.0527,0.079,0.0698,0.0433,0.0281,0.0291,0.0705,0.0383,0.0199,0.0113,0.0086,0.0111,0.0201,0.0139
"34",0.1803,0.0938,0.1086,0.1162,0.0808,0.0583,0.0542,0.0749,0.0597,0.0384,0.023,0.0193,0.0178,0.0298,0.0208
"35",0.1955,0.1391,0.1563,0.1746,0.1274,0.122,0.1148,0.0841,0.0852,0.0768,0.0514,0.0355,0.0332,0.0303,0.0351
"36",0.1451,0.1568,0.1658,0.1994,0.1564,0.1769,0.1591,0.0752,0.1048,0.0983,0.0758,0.0661,0.0535,0.0425,0.0552
"37",0.0907,0.1542,0.1274,0.1709,0.1643,0.1891,0.1734,0.0833,0.1242,0.1105,0.1027,0.0986,0.1104,0.0674,0.0748
"38+",0.1023,0.3456,0.2729,0.209,0.3363,0.3935,0.3366,0.5102,0.5419,0.6303,0.7252,0.7512,0.7393,0.7648,0.7783
"n_s",15321,15207,10732,8138,11537,7942,5261,6025,7101,6045,5121,6418,7176,3529,5385
"n_h",147,125,94,90,121,108,73,374,489,456,403,500,554,378,439
