"name","1990","1993","1996","1999","2001","2003","2005","2007","2009","2011","2013","2015","2017","2019","2021"
"15",0.0006,0.0001,0.0004,0.0002,0.0003,0.0004,0,0.0001,0.0007,0,0,0,0,0,0
"16",0,0.0003,0.0003,0.0002,0.0007,0,0.0001,0,0.0011,0,0,0,0.0001,0,0.0002
"17",0.0002,0.0007,0.0008,0.0001,0.0004,0.0002,0.0002,0,0.0004,0.0001,0,0,0,0.0004,0
"18",0,0.0011,0.001,0.0005,0.0027,0,0,0,0.0011,0.0001,0,0.0009,0,0,0
"19",0.0006,0.0006,0.0005,0.0007,0.0025,0.0005,0,0.0001,0.0009,0.0001,0.0001,0,0.0001,0,0.0008
"20",0.0007,0.0005,0.0009,0.0008,0.0015,0.0011,0.0002,0,0.0007,0.0004,0,0,0.0001,0,0
"21",0.0013,0.0006,0.0007,0.0012,0.0015,0.0013,0.0002,0.0001,0.0006,0.0001,0,0,0.0001,0,0.0004
"22",0.0034,0.0015,0.0021,0.0017,0.0016,0.0025,0.0003,0.0002,0.0006,0.0004,0.0001,0.0005,0.0001,0,0.0013
"23",0.0055,0.0026,0.0023,0.0034,0.0012,0.0038,0.0001,0.0001,0.0012,0.0008,0.0001,0,0.0003,0.0004,0
"24",0.0118,0.0033,0.002,0.0018,0.002,0.0058,0.0015,0.0004,0.0005,0.0001,0.0001,0,0.0004,0.0008,0.0017
"25",0.0113,0.0066,0.0031,0.0022,0.0019,0.007,0.0004,0.002,0.0011,0.0002,0.0007,0.0023,0.0014,0.0011,0.0021
"26",0.0297,0.0053,0.007,0.0061,0.0039,0.0181,0.0008,0.0023,0.0015,0.0004,0.0007,0.001,0,0.0021,0.0017
"27",0.0243,0.0068,0.0082,0.002,0.0049,0.0112,0.0012,0.0061,0.0026,0.0003,0.0013,0.0007,0.0015,0.0013,0.0041
"28",0.0166,0.0078,0.0055,0.0056,0.008,0.0072,0.0013,0.0022,0.0022,0.0005,0.001,0.0042,0.0013,0.0038,0.0028
"29",0.0171,0.0069,0.008,0.0018,0.0051,0.0099,0.0635,0.0064,0.0018,0.0002,0.0013,0.0021,0.001,0.0016,0.0026
"30",0.0128,0.0122,0.009,0.0026,0.0095,0.0148,0.0341,0.0033,0.0077,0.0001,0.0038,0.0021,0.0044,0.004,0.0069
"31",0.0224,0.0146,0.016,0.0023,0.0106,0.0207,0.0117,0.0072,0.0064,0.0007,0.0016,0.0057,0.0042,0.0047,0.0068
"32",0.0382,0.0411,0.0203,0.0268,0.0232,0.0396,0.0131,0.0178,0.0131,0.0018,0.0042,0.0072,0.0082,0.0094,0.0113
"33",0.09,0.0552,0.0267,0.0309,0.0172,0.0641,0.0211,0.0381,0.0118,0.0036,0.005,0.0085,0.0074,0.0189,0.0062
"34",0.1256,0.0907,0.0341,0.0354,0.053,0.0768,0.0255,0.0618,0.0322,0.0148,0.0118,0.0126,0.0081,0.0185,0.0177
"35",0.139,0.1467,0.0595,0.0538,0.051,0.0631,0.0315,0.0699,0.0397,0.0124,0.0133,0.007,0.0135,0.0228,0.0237
"36",0.1182,0.1612,0.1213,0.0777,0.1213,0.0783,0.052,0.0837,0.0562,0.0184,0.0344,0.0251,0.0164,0.0399,0.0366
"37",0.1016,0.1231,0.1178,0.1282,0.1269,0.0706,0.0554,0.0927,0.0815,0.0442,0.0401,0.0529,0.0325,0.0589,0.0413
"38",0.0747,0.1047,0.1351,0.1839,0.1669,0.0994,0.089,0.0898,0.0944,0.061,0.1158,0.0983,0.0463,0.081,0.0613
"39",0.0617,0.0649,0.1186,0.1267,0.1061,0.0949,0.107,0.1227,0.1349,0.1031,0.1604,0.1198,0.1146,0.1492,0.0906
"40",0.0295,0.0532,0.0949,0.1101,0.1156,0.0816,0.117,0.1314,0.1262,0.139,0.1529,0.1659,0.1346,0.1982,0.1369
"41",0.0272,0.0383,0.0926,0.0937,0.0555,0.0698,0.108,0.1131,0.1367,0.1899,0.189,0.1802,0.1703,0.1723,0.1607
"42",0.0173,0.0231,0.0522,0.0472,0.0624,0.0487,0.0807,0.0801,0.1025,0.1442,0.1355,0.1234,0.1504,0.1065,0.1539
"43",0.0069,0.0123,0.0319,0.038,0.0181,0.0483,0.0769,0.0365,0.0671,0.1274,0.0804,0.0913,0.1347,0.0662,0.1279
"44",0.0056,0.0082,0.0185,0.0113,0.0088,0.0142,0.0767,0.0206,0.0389,0.0628,0.0287,0.0426,0.0803,0.0251,0.0656
"45+",0.0063,0.0057,0.0085,0.003,0.0156,0.0461,0.0302,0.0114,0.0338,0.0726,0.0179,0.0457,0.0677,0.013,0.035
"n_s",3091,4384,4239,3471,3810,2941,4556,4723,2849,2460,3138,2325,2570,2237,2088
"n_h",48,106,131,124,106,126,147,139,132,89,86,95,92,74,70
