item,2027,2028
M (natural mortality),0.0592079087325705,0.0592079087325705
Tier,3a,3b
Projected total biomass (t),NA,NA
Projected female spawning biomass (t),32146.6726349313,29731.9262262446
B100%,77627.5154806999,77627.5154806999
B40%,31051.0061922802,31051.0061922802
B35%,27169.6304182451,27169.6304182451
FOFL,0.0749157132326797,0.0749157132326797
maxFABC,0.0623090920474017,0.0607903571935452
FABC,0.0169457094442787,0.0158378876285084
OFL (t),4943.00920142909,4587.98123990465
maxABC (t),4136.14051482944,3793.2750580317
ABC (t),1149.73621305002,1054.36976750047
