"YEAR","HAUL_DATE","SPECIES","FMP_AREA","GEAR_TYPE","EXTRAPOLATED_WEIGHT"
2018,2018-09-14,303,"GOA",1,4144.21
2018,2018-09-19,303,"GOA",1,1763.61
2018,2018-09-19,303,"GOA",1,903.43
2018,2018-09-20,303,"GOA",1,495.51
2018,2018-09-18,303,"GOA",1,4802.17
2018,2018-09-18,303,"GOA",1,6982.78
2018,2018-09-19,303,"GOA",1,146.5
2018,2018-07-02,303,"GOA",1,15269.17
2018,2018-07-03,303,"GOA",1,53.56
2018,2018-07-03,303,"GOA",1,7419.03
2018,2018-07-04,303,"GOA",1,3544.96
2018,2018-07-04,303,"GOA",1,1008.52
2018,2018-07-04,303,"GOA",1,1312.23
2018,2018-07-04,303,"GOA",1,3908.46
2018,2018-07-11,303,"GOA",1,161.08
2018,2018-07-11,303,"GOA",1,103.63
2018,2018-07-13,303,"GOA",1,4750.28
2018,2018-07-13,303,"GOA",1,9766.73
2018,2018-07-13,303,"GOA",1,171.52
2018,2018-07-13,303,"GOA",1,11630.86
2018,2018-07-14,303,"GOA",1,2625.5
2018,2018-07-14,303,"GOA",1,722.62
2018,2018-07-14,303,"GOA",1,1967.73
2018,2018-06-23,303,"GOA",1,139.33
2018,2018-06-23,303,"GOA",1,5562.26
2018,2018-06-23,303,"GOA",1,6853.38
2018,2018-06-23,303,"GOA",1,891.95
2018,2018-06-24,303,"GOA",1,6304.41
2018,2018-06-24,303,"GOA",1,24099.57
2018,2018-06-25,303,"GOA",1,541.13
2018,2018-06-25,303,"GOA",1,803.05
2018,2018-06-26,303,"GOA",1,295.14
2018,2018-07-13,303,"GOA",1,1696.35
2018,2018-07-13,303,"GOA",1,1731.89
2018,2018-07-14,303,"GOA",1,2191.4
2018,2018-07-14,303,"GOA",1,72.94
2018,2018-07-14,303,"GOA",1,3478.99
2018,2018-07-14,303,"GOA",1,144.34
2018,2018-07-01,303,"GOA",1,506.94
2018,2018-07-02,303,"GOA",1,58.84
2018,2018-07-02,303,"GOA",1,5835.38
2018,2018-07-02,303,"GOA",1,5515.57
2018,2018-07-02,303,"GOA",1,19593.3
2018,2018-07-02,303,"GOA",1,8390.86
2018,2018-07-02,303,"GOA",1,7257.28
2018,2018-12-12,303,"GOA",1,49.86
2018,2018-12-18,303,"GOA",1,232.66
2018,2018-08-13,303,"GOA",1,1321.91
2018,2018-08-13,303,"GOA",1,614.68
2018,2018-07-07,303,"GOA",1,1714.74
2018,2018-07-07,303,"GOA",1,3252.72
2018,2018-07-07,303,"GOA",1,2777.55
2018,2018-07-07,303,"GOA",1,4475.33
2018,2018-12-06,303,"GOA",1,1691.09
2018,2018-12-06,303,"GOA",1,587.47
2018,2018-12-07,303,"GOA",1,482.9
2018,2018-12-08,303,"GOA",1,526.25
2018,2018-12-08,303,"GOA",1,354.38
2018,2018-09-19,303,"GOA",1,578.84
2018,2018-09-07,303,"GOA",8,16.83
2018,2018-09-09,303,"GOA",8,16.51
2018,2018-09-10,303,"GOA",8,8.42
2018,2018-09-10,303,"GOA",8,115.58
2018,2018-09-11,303,"GOA",8,33.99
2018,2018-09-12,303,"GOA",8,29.59
2018,2018-04-17,303,"GOA",1,77.16
2018,2018-10-13,303,"GOA",1,63.79
2018,2018-06-18,303,"GOA",1,290.15
2018,2018-06-19,303,"GOA",1,23032.62
2018,2018-06-19,303,"GOA",1,64.85
2018,2018-06-21,303,"GOA",1,77.47
2018,2018-06-23,303,"GOA",1,643.4
2018,2018-06-23,303,"GOA",1,451.15
2018,2018-06-23,303,"GOA",1,346.53
2018,2018-06-23,303,"GOA",1,26795.07
2018,2018-06-23,303,"GOA",1,27778.97
2018,2018-06-26,303,"GOA",1,782.73
2018,2018-06-26,303,"GOA",1,68.75
2018,2018-06-14,303,"GOA",1,43.41
2018,2018-06-14,303,"GOA",1,532.75
2018,2018-06-15,303,"GOA",1,2139.02
2018,2018-07-21,303,"GOA",1,966.95
2018,2018-07-21,303,"GOA",1,3453.08
2018,2018-07-21,303,"GOA",1,4.73
2018,2018-07-21,303,"GOA",1,2405.49
2018,2018-07-20,303,"GOA",1,1199.71
2018,2018-07-20,303,"GOA",1,1077.73
2018,2018-07-21,303,"GOA",1,5318.85
2018,2018-07-14,303,"GOA",1,18592.64
2018,2018-07-16,303,"GOA",1,43.33
2018,2018-11-05,303,"GOA",1,13.6
2018,2018-11-08,303,"GOA",1,88.43
2018,2018-06-29,303,"GOA",1,146.88
2018,2018-06-29,303,"GOA",1,149.74
2018,2018-07-04,303,"GOA",1,2938.13
2018,2018-07-04,303,"GOA",1,2336.64
