"","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1961",61344,60518,60241,54588,55313,52188,52625,56756,57446,53958
"1962",59951,59138,58871,53260,53955,50862,51280,55352,56017,52551
"1963",57560,56730,56474,50873,51539,48476,48874,52878,53517,50074
"1964",53689,52803,52557,46921,47555,44535,44911,48821,49434,46019
"1965",47471,46489,46254,40505,41100,38140,38486,42271,42852,39469
"1966",38934,37792,37573,31604,32142,29231,29531,33159,33696,30338
"1967",34929,33398,33188,27096,27604,24614,24892,28343,28854,25524
"1968",33439,31362,31157,24965,25452,22254,22518,25795,26288,23019
"1969",32937,30189,29989,23662,24134,20617,20870,23960,24436,21283
"1970",33544,30034,29836,23297,23760,19882,20128,22989,23453,20442
"1971",35212,30872,30673,23827,24287,20040,20282,22870,23325,20416
"1972",36619,31405,31204,23962,24423,19777,20017,22292,22740,19828
"1973",38376,32350,32143,24399,24869,19762,20004,22029,22474,19315
"1974",40851,34192,33976,25578,26067,20450,20699,22588,23038,19349
"1975",43639,36577,36348,27178,27694,21563,21825,23666,24128,19659
"1976",46545,39259,39014,29107,29660,23055,23335,25195,25677,20249
"1977",49573,42140,41877,31436,32034,25000,25305,27306,27818,21335
"1978",53285,45719,45435,34682,35336,27892,28227,30570,31121,23611
"1979",56995,49357,49053,38155,38870,31051,31421,34315,34914,26555
"1980",60573,52982,52655,41699,42480,34346,34754,38277,38929,30076
"1981",63942,56549,56198,45261,46114,37748,38199,42272,42980,33971
"1982",66793,59743,59367,48564,49492,40998,41495,46057,46825,37735
"1983",68303,61668,61267,50724,51729,43234,43780,48995,49828,40416
"1984",69772,63455,63029,52766,53849,45447,46043,52279,53182,43157
"1985",72373,66228,65777,55688,56847,48563,49209,56773,57753,47177
"1986",75386,69365,68888,58810,60046,51829,52525,61543,62600,51922
"1987",78411,72605,72098,61888,63205,54913,55657,65972,67104,56952
"1988",81285,75897,75359,65020,66423,57876,58671,69896,71098,61866
"1989",83716,78970,78400,68134,69634,60733,61584,73269,74538,66174
"1990",85694,81720,81117,71244,72848,63694,64609,76427,77765,69888
"1991",87299,84035,83401,74214,75925,66812,67795,79685,81098,73282
"1992",87364,84599,83936,75576,77388,68692,69746,81919,83414,75419
"1993",85799,83211,82523,74857,76757,68750,69872,82672,84250,76201
"1994",85625,82846,82134,74807,76783,69467,70649,84246,85903,78212
"1995",85150,81881,81145,73763,75806,69029,70263,84631,86357,79478
"1996",85131,81228,80464,72642,74747,68215,69493,84401,86183,80323
"1997",86469,81961,81166,72616,74788,68113,69430,84551,86378,81463
"1998",88273,83336,82503,73066,75319,68074,69430,84400,86262,82082
"1999",90148,85111,84234,73927,76279,68101,69501,83899,85791,82057
"2000",90797,86141,85216,74268,76741,67459,68914,82253,84175,80528
"2001",91828,88014,87041,75899,78511,68319,69844,81788,83747,79730
"2002",92127,89529,88513,77717,80474,69794,71405,81900,83910,79036
"2003",91374,90170,89119,79173,82068,71460,73166,82492,84568,78530
"2004",88820,88958,87885,79163,82174,72230,74033,82643,84800,77669
"2005",85791,86968,85885,78523,81618,72812,74703,83077,85318,77509
"2006",82490,84298,83217,77135,80279,72887,74851,83435,85757,77762
"2007",78814,80862,79791,74737,77894,71977,73993,83143,85535,77837
"2008",75501,77494,76438,72068,75209,70608,72652,82539,84983,78035
"2009",72314,74086,73048,69049,72152,68574,70624,81229,83704,77875
"2010",69228,70742,69721,65875,68929,66025,68063,79208,81690,77164
"2011",66182,67480,66478,62676,65674,63142,65156,76552,79020,75784
"2012",63345,64482,63499,59729,62672,60313,62295,73618,76054,73932
"2013",59728,60728,59765,56070,58956,56679,58625,69601,71994,70711
"2014",NA,57097,56156,52573,55401,53207,55119,65578,67922,67142
"2015",NA,NA,52878,49409,52178,50112,51989,61875,64168,63605
"2016",NA,NA,NA,46444,49151,47248,49091,58432,60676,60132
"2017",NA,NA,NA,NA,46417,44676,46484,55352,57549,56924
"2018",NA,NA,NA,NA,NA,42898,44669,53134,55287,54555
"2019",NA,NA,NA,NA,NA,NA,42631,50744,52853,52019
"2020",NA,NA,NA,NA,NA,NA,NA,48262,50330,49385
"2021",NA,NA,NA,NA,NA,NA,NA,NA,48109,47011
"2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,44738
