"year","pred","obs","se","retro_year","model","lci","uci"
1984,66853.9,42307,6036,2018,"m18.2b",30476.44,54137.56
1987,83100.5,122806,19882,2018,"m18.2b",83837.28,161774.72
1990,97441.9,99836,14653,2018,"m18.2b",71116.12,128555.88
1993,104586,92620,12353,2018,"m18.2b",68408.12,116831.88
1996,105014,152932,26046,2018,"m18.2b",101881.84,203982.16
1999,104901,128710,29791,2018,"m18.2b",70319.64,187100.36
2001,103347,369037,90325,2018,"m18.2b",192000,546074
2003,104907,85047,12250,2018,"m18.2b",61037,109057
2005,104921,239955,29614,2018,"m18.2b",181911.56,297998.44
2007,103758,179913,27902,2018,"m18.2b",125225.08,234600.92
2009,100267,78827,11307,2018,"m18.2b",56665.28,100988.72
2011,93907.4,109959,15955,2018,"m18.2b",78687.2,141230.8
2013,85176.8,264915,46733,2018,"m18.2b",173318.32,356511.68
2015,75579.6,100589,18743,2018,"m18.2b",63852.72,137325.28
2017,67486.8,140414,23336,2018,"m18.2b",94675.44,186152.56
1984,55717,42307,6036,2019,"m18.2b",30476.44,54137.56
1987,72247.1,122806,19882,2019,"m18.2b",83837.28,161774.72
1990,88945.5,99836,14653,2019,"m18.2b",71116.12,128555.88
1993,97354.4,92620,12353,2019,"m18.2b",68408.12,116831.88
1996,101042,152932,26046,2019,"m18.2b",101881.84,203982.16
1999,107778,128710,29791,2019,"m18.2b",70319.64,187100.36
2001,109604,369037,90325,2019,"m18.2b",192000,546074
2003,112886,85047,12250,2019,"m18.2b",61037,109057
2005,112745,239955,29614,2019,"m18.2b",181911.56,297998.44
2007,111987,179913,27902,2019,"m18.2b",125225.08,234600.92
2009,110680,78827,11307,2019,"m18.2b",56665.28,100988.72
2011,107909,109959,15955,2019,"m18.2b",78687.2,141230.8
2013,102614,264915,46733,2019,"m18.2b",173318.32,356511.68
2015,94956.2,100589,18743,2019,"m18.2b",63852.72,137325.28
2017,87578.2,140414,23336,2019,"m18.2b",94675.44,186152.56
2019,82382,99915,14666,2019,"m18.2b",71169.64,128660.36
1984,63085,42307,6036,2020,"m18.2b",30476.44,54137.56
1987,82988.8,122806,19882,2020,"m18.2b",83837.28,161774.72
1990,99580.3,99836,14653,2020,"m18.2b",71116.12,128555.88
1993,108858,92620,12353,2020,"m18.2b",68408.12,116831.88
1996,112087,152932,26046,2020,"m18.2b",101881.84,203982.16
