"","year","age","value","groups","Age","Year"
"1",1984,2,0,"obs","2","1984"
"2",1984,3,0,"obs","3","1984"
"3",1984,4,0,"obs","4","1984"
"4",1984,5,0.0142038,"obs","5","1984"
"5",1984,6,0.0398346,"obs","6","1984"
"6",1984,7,0.0912245,"obs","7","1984"
"7",1984,8,0.190539,"obs","8","1984"
"8",1984,9,0.111647,"obs","9","1984"
"9",1984,10,0.0513804,"obs","10","1984"
"10",1984,11,0.0458127,"obs","11","1984"
"11",1984,12,0.0258575,"obs","12","1984"
"12",1984,13,0.0707276,"obs","13","1984"
"13",1984,14,0.0669761,"obs","14","1984"
"14",1984,15,0.0626115,"obs","15","1984"
"15",1984,16,0.0395578,"obs","16","1984"
"16",1984,17,0.0191567,"obs","17","1984"
"17",1984,18,0.0186114,"obs","18","1984"
"18",1984,19,0.00568588,"obs","19","1984"
"19",1984,20,0.00745649,"obs","20","1984"
"20",1984,21,0.00331024,"obs","21","1984"
"21",1984,22,0.00967684,"obs","22","1984"
"22",1984,23,0.0313831,"obs","23","1984"
"23",1984,24,0.0208635,"obs","24","1984"
"24",1984,25,0.00639304,"obs","25","1984"
"25",1984,26,0.00315316,"obs","26","1984"
"26",1984,27,0.0102723,"obs","27","1984"
"27",1984,28,0.00353957,"obs","28","1984"
"28",1984,29,0.00909353,"obs","29","1984"
"29",1984,30,0,"obs","30","1984"
"30",1984,31,0.00401887,"obs","31","1984"
"31",1984,32,0.0134512,"obs","32","1984"
"32",1984,33,0.00262336,"obs","33","1984"
"33",1984,34,0,"obs","34","1984"
"34",1984,35,0.00262336,"obs","35","1984"
"35",1984,36,0,"obs","36","1984"
"36",1984,37,0.00397066,"obs","37","1984"
"37",1984,38,0,"obs","38","1984"
"38",1984,39,0,"obs","39","1984"
"39",1984,40,0.00606371,"obs","40","1984"
"40",1984,41,0.00474028,"obs","41","1984"
"41",1984,42,0,"obs","42","1984"
"42",1984,43,0.00353957,"obs","43","1984"
"43",1984,44,0,"obs","44","1984"
"44",1984,45,0,"obs","45","1984"
"45",1987,2,0,"obs","2","1987"
"46",1987,3,0.00332443,"obs","3","1987"
