year,biomass,se,lci,uci
1987,115306,13329,89181,141431
1990,98181,14269,70213,126149
1993,105000,16429,72799,137200
1996,165084,43605,79619,250549
1999,111133,15932,79908,142359
2001,250540,34024,183854,317227
2003,117413,25483,67467,167360
2005,303550,47957,209554,397546
2007,187254,28353,131681,242826
2009,94539,21489,52421,136656
2011,158052,30597,98082,218022
2013,284648,65087,157078,412218
2015,94635,18325,58718,130552
2017,201126,44916,113090,289162
2019,120890,23448,74933,166847
2021,81430,11968,57973,104887
