year,biomass,se,lci,uci
1990,106645.62,17867.53,71625.25,141665.98
1993,108277.69,16265.07,76398.16,140157.23
1996,181895.39,36959.04,109455.67,254335.12
1999,173849.83,51358.99,73186.21,274513.44
2001,253260.71,36072.50,182558.61,323962.80
2003,107228.98,17205.28,73506.64,140951.33
2005,236085.26,30274.10,176748.02,295422.49
2007,206102.21,30782.84,145767.85,266436.56
2009,89847.24,13778.96,62840.48,116854.00
2011,155675.57,29430.78,97991.24,213359.90
2013,369021.18,78320.02,215513.94,522528.42
2015,115822.41,29104.96,58776.68,172868.13
2017,179317.84,28562.57,123335.19,235300.48
2019,110105.44,17521.90,75762.52,144448.37
2021,74073.56,11429.29,51672.15,96474.98
