year,biomass,se,lci,uci
1990,108220,18405,72146,144293
1993,104147,16069,72652,135642
1996,171359,43735,85639,257079
1999,113873,17052,80451,147296
2001,246060,34316,178799,313320
2003,116170,24772,67616,164724
2005,299780,52376,197123,402436
2007,190206,27808,135702,244710
2009,108760,30927,48143,169377
2011,165460,38699,89610,241310
2013,262513,51139,162282,362745
2015,96378,18017,61066,131691
2017,220873,60191,102898,338848
2019,128330,29774,69973,186687
2021,81296,12478,56839,105752
