"YEAR","FMP_AREA","SPECIES","LENGTH","WEIGHT","AGE","SPECIMEN_TYPE","PERFORMANCE","HAUL_JOIN","PORT_JOIN"
1992,"GOA",303,35,0.61,NA,1,1,"162956",NA
1992,"GOA",303,35,0.65,NA,1,1,"162956",NA
1992,"GOA",303,36,0.59,NA,1,1,"162956",NA
1992,"GOA",303,36,0.6,NA,1,1,"162956",NA
1992,"GOA",303,36,0.65,NA,1,1,"162956",NA
1992,"GOA",303,36,0.65,NA,1,1,"162956",NA
1992,"GOA",303,36,0.7,NA,1,1,"162956",NA
1992,"GOA",303,36,0.7,NA,1,1,"162956",NA
1992,"GOA",303,37,0.68,NA,1,1,"162956",NA
1992,"GOA",303,37,0.7,NA,1,1,"162956",NA
1992,"GOA",303,38,0.7,NA,1,1,"162956",NA
1992,"GOA",303,39,0.9,NA,1,1,"162956",NA
1992,"GOA",303,32,0.44,NA,1,1,"162968",NA
1992,"GOA",303,32,0.44,NA,1,1,"162968",NA
1992,"GOA",303,33,0.53,NA,1,1,"162968",NA
1992,"GOA",303,33,0.55,NA,1,1,"162968",NA
1992,"GOA",303,34,0.48,NA,1,1,"162968",NA
1992,"GOA",303,34,0.54,NA,1,1,"162968",NA
1992,"GOA",303,34,0.55,NA,1,1,"162968",NA
1992,"GOA",303,35,0.56,NA,1,1,"162968",NA
1992,"GOA",303,35,0.61,NA,1,1,"162968",NA
1992,"GOA",303,35,0.62,NA,1,1,"162968",NA
1992,"GOA",303,37,0.61,NA,1,1,"162968",NA
1992,"GOA",303,37,0.7,NA,1,1,"162968",NA
1992,"GOA",303,37,0.7,NA,1,1,"162968",NA
1992,"GOA",303,37,0.7,NA,1,1,"162968",NA
1992,"GOA",303,38,0.65,NA,1,1,"162968",NA
1992,"GOA",303,38,0.71,NA,1,1,"162968",NA
1992,"GOA",303,38,0.71,NA,1,1,"162968",NA
1992,"GOA",303,38,0.75,NA,1,1,"162968",NA
1992,"GOA",303,38,0.78,NA,1,1,"162968",NA
1992,"GOA",303,39,0.75,NA,1,1,"162968",NA
1992,"GOA",303,33,0.45,NA,1,1,"162962",NA
1992,"GOA",303,33,0.45,NA,1,1,"162962",NA
1992,"GOA",303,33,0.5,NA,1,1,"162962",NA
1992,"GOA",303,34,0.5,NA,1,1,"162962",NA
1992,"GOA",303,34,0.52,NA,1,1,"162962",NA
1992,"GOA",303,34,0.55,NA,1,1,"162962",NA
1992,"GOA",303,34,0.6,NA,1,1,"162962",NA
1992,"GOA",303,35,0.54,NA,1,1,"162962",NA
1992,"GOA",303,35,0.65,NA,1,1,"162962",NA
1992,"GOA",303,35,0.65,NA,1,1,"162962",NA
1992,"GOA",303,35,0.68,NA,1,1,"162962",NA
1992,"GOA",303,36,0.6,NA,1,1,"162962",NA
1992,"GOA",303,36,0.62,NA,1,1,"162962",NA
1992,"GOA",303,36,0.65,NA,1,1,"162962",NA
1992,"GOA",303,36,0.75,NA,1,1,"162962",NA
1992,"GOA",303,37,0.65,NA,1,1,"162962",NA
1992,"GOA",303,37,0.75,NA,1,4,"163374",NA
1992,"GOA",303,37,0.8,NA,1,4,"163374",NA
1992,"GOA",303,37,0.8,NA,1,4,"163374",NA
1992,"GOA",303,41,0.95,NA,1,4,"163374",NA
1992,"GOA",303,41,1,NA,1,4,"163374",NA
1992,"GOA",303,41,1,NA,1,4,"163374",NA
1992,"GOA",303,38,0.7,NA,1,1,"163316",NA
1992,"GOA",303,38,0.7,NA,1,1,"163316",NA
1992,"GOA",303,38,0.7,NA,1,1,"163316",NA
1992,"GOA",303,38,0.8,NA,1,1,"163316",NA
1992,"GOA",303,40,0.8,NA,1,1,"163316",NA
1992,"GOA",303,41,0.85,NA,1,1,"163316",NA
1992,"GOA",303,45,1.1,NA,1,1,"163316",NA
1992,"GOA",303,45,1.1,NA,1,1,"163316",NA
1992,"GOA",303,32,0.55,NA,1,1,"163324",NA
1992,"GOA",303,33,0.6,NA,1,1,"163324",NA
1992,"GOA",303,35,0.6,NA,1,1,"163324",NA
1992,"GOA",303,35,0.65,NA,1,1,"163324",NA
1992,"GOA",303,36,0.6,NA,1,1,"163324",NA
1992,"GOA",303,36,0.65,NA,1,1,"163324",NA
1992,"GOA",303,37,0.7,NA,1,1,"163324",NA
1992,"GOA",303,37,0.75,NA,1,1,"163324",NA
1992,"GOA",303,38,0.75,NA,1,1,"163324",NA
1992,"GOA",303,38,0.8,NA,1,1,"163324",NA
1992,"GOA",303,38,0.85,NA,1,1,"163324",NA
1992,"GOA",303,39,0.8,NA,1,1,"163324",NA
1992,"GOA",303,39,0.8,NA,1,1,"163324",NA
1992,"GOA",303,33,0.55,NA,1,1,"163336",NA
1992,"GOA",303,36,0.65,NA,1,1,"163336",NA
1992,"GOA",303,36,0.7,NA,1,1,"163336",NA
1992,"GOA",303,36,0.7,NA,1,1,"163336",NA
1992,"GOA",303,36,0.7,NA,1,1,"163336",NA
1992,"GOA",303,37,0.75,NA,1,1,"163336",NA
1992,"GOA",303,40,0.9,NA,1,1,"163336",NA
1992,"GOA",303,40,1,NA,1,1,"163336",NA
1992,"GOA",303,41,1,NA,1,1,"163336",NA
1992,"GOA",303,42,1.05,NA,1,1,"163336",NA
1992,"GOA",303,36,0.65,NA,1,1,"163313",NA
1992,"GOA",303,39,0.8,NA,1,1,"163313",NA
1992,"GOA",303,33,0.5,NA,1,1,"163318",NA
1992,"GOA",303,33,0.5,NA,1,1,"163318",NA
1992,"GOA",303,35,0.6,NA,1,1,"163318",NA
1992,"GOA",303,36,0.7,NA,1,1,"163318",NA
1992,"GOA",303,37,0.65,NA,1,1,"163318",NA
1992,"GOA",303,37,0.7,NA,1,1,"163318",NA
1992,"GOA",303,38,0.7,NA,1,1,"163318",NA
1992,"GOA",303,38,0.75,NA,1,1,"163318",NA
1992,"GOA",303,38,0.8,NA,1,1,"163318",NA
1992,"GOA",303,39,0.75,NA,1,1,"163318",NA
1992,"GOA",303,39,0.8,NA,1,1,"163318",NA
1992,"GOA",303,39,0.8,NA,1,1,"163318",NA
1992,"GOA",303,39,0.85,NA,1,1,"163318",NA
1992,"GOA",303,39,0.85,NA,1,1,"163318",NA
1992,"GOA",303,39,0.95,NA,1,1,"163318",NA
1992,"GOA",303,40,0.9,NA,1,1,"163318",NA
1992,"GOA",303,40,0.9,NA,1,1,"163318",NA
1992,"GOA",303,40,0.95,NA,1,1,"163318",NA
1992,"GOA",303,41,0.9,NA,1,1,"163318",NA
1992,"GOA",303,41,0.95,NA,1,1,"163318",NA
1992,"GOA",303,34,0.55,NA,1,4,"163374",NA
1992,"GOA",303,34,0.65,NA,1,4,"163374",NA
1992,"GOA",303,37,0.65,NA,1,4,"163374",NA
1992,"GOA",303,37,0.75,NA,1,4,"163374",NA
1992,"GOA",303,39,0.85,NA,1,1,"163324",NA
1992,"GOA",303,40,0.85,NA,1,1,"163324",NA
1992,"GOA",303,40,0.9,NA,1,1,"163324",NA
1992,"GOA",303,40,0.9,NA,1,1,"163324",NA
1992,"GOA",303,40,0.9,NA,1,1,"163324",NA
1992,"GOA",303,41,1,NA,1,1,"163324",NA
1992,"GOA",303,42,1,NA,1,1,"163324",NA
1992,"GOA",303,32,0.55,NA,1,1,"163405",NA
1992,"GOA",303,34,0.6,NA,1,1,"163405",NA
1992,"GOA",303,34,0.6,NA,1,1,"163405",NA
1992,"GOA",303,34,0.6,NA,1,1,"163405",NA
1992,"GOA",303,34,0.6,NA,1,1,"163405",NA
1992,"GOA",303,34,0.6,NA,1,1,"163405",NA
1992,"GOA",303,42,1,NA,1,1,"163405",NA
1992,"GOA",303,42,1.1,NA,1,1,"163405",NA
1992,"GOA",303,31,0.45,NA,1,1,"163393",NA
1992,"GOA",303,33,0.5,NA,1,1,"163393",NA
1992,"GOA",303,33,0.5,NA,1,1,"163393",NA
1992,"GOA",303,34,0.6,NA,1,1,"163393",NA
1992,"GOA",303,35,0.6,NA,1,1,"163393",NA
1992,"GOA",303,35,0.6,NA,1,1,"163393",NA
1992,"GOA",303,35,0.6,NA,1,1,"163393",NA
1992,"GOA",303,35,0.65,NA,1,1,"163393",NA
1992,"GOA",303,36,0.65,NA,1,1,"163393",NA
1992,"GOA",303,36,0.7,NA,1,1,"163393",NA
1993,"GOA",303,34,0.6,NA,1,1,"225352",NA
1993,"GOA",303,38,0.8,NA,1,1,"225352",NA
1993,"GOA",303,38,0.8,NA,1,1,"225352",NA
1993,"GOA",303,38,0.95,NA,1,1,"225352",NA
1993,"GOA",303,39,0.85,NA,1,1,"225352",NA
1993,"GOA",303,40,0.95,NA,1,1,"225352",NA
1993,"GOA",303,40,1.05,NA,1,1,"225352",NA
1993,"GOA",303,41,1.05,NA,1,1,"225352",NA
1993,"GOA",303,41,1.1,NA,1,1,"225352",NA
1993,"GOA",303,32,0.45,NA,1,1,"225326",NA
1993,"GOA",303,34,0.5,NA,1,1,"225326",NA
1993,"GOA",303,35,0.6,NA,1,1,"225326",NA
1993,"GOA",303,35,0.6,NA,1,1,"225326",NA
1993,"GOA",303,36,0.6,NA,1,1,"225326",NA
1993,"GOA",303,36,0.65,NA,1,1,"225326",NA
1993,"GOA",303,36,0.75,NA,1,1,"225326",NA
1993,"GOA",303,37,0.75,NA,1,1,"225326",NA
1993,"GOA",303,40,0.85,NA,1,1,"225326",NA
1993,"GOA",303,40,0.85,NA,1,1,"225326",NA
1993,"GOA",303,31,0.45,NA,1,1,"225332",NA
1993,"GOA",303,31,0.45,NA,1,1,"225332",NA
1993,"GOA",303,31,0.45,NA,1,1,"225332",NA
1993,"GOA",303,32,0.4,NA,1,1,"225332",NA
1993,"GOA",303,32,0.45,NA,1,1,"225332",NA
1993,"GOA",303,32,0.5,NA,1,1,"225332",NA
1993,"GOA",303,35,0.6,NA,1,1,"225332",NA
1993,"GOA",303,38,0.8,NA,1,1,"225332",NA
1993,"GOA",303,39,0.8,NA,1,1,"225332",NA
1993,"GOA",303,41,0.95,NA,1,1,"225332",NA
1993,"GOA",303,30,0.4,NA,1,1,"225359",NA
1993,"GOA",303,31,0.4,NA,1,1,"225359",NA
1993,"GOA",303,32,0.45,NA,1,1,"225359",NA
1993,"GOA",303,33,0.45,NA,1,1,"225359",NA
1993,"GOA",303,33,0.5,NA,1,1,"225359",NA
1993,"GOA",303,34,0.55,NA,1,1,"225359",NA
1993,"GOA",303,35,0.65,NA,1,1,"225359",NA
1993,"GOA",303,36,0.65,NA,1,1,"225359",NA
1993,"GOA",303,37,0.7,NA,1,1,"225359",NA
1993,"GOA",303,38,0.8,NA,1,1,"225359",NA
1993,"GOA",303,30,0.4,NA,1,1,"225337",NA
1993,"GOA",303,31,0.4,NA,1,1,"225337",NA
1993,"GOA",303,32,0.5,NA,1,1,"225337",NA
1993,"GOA",303,33,0.55,NA,1,1,"225337",NA
1993,"GOA",303,33,0.55,NA,1,1,"225337",NA
1993,"GOA",303,35,0.65,NA,1,1,"225337",NA
1993,"GOA",303,36,0.7,NA,1,1,"225337",NA
1993,"GOA",303,36,0.75,NA,1,1,"225337",NA
1993,"GOA",303,37,0.75,NA,1,1,"225337",NA
1993,"GOA",303,38,0.8,NA,1,1,"225337",NA
1993,"GOA",303,33,0.55,NA,1,1,"225352",NA
1993,"GOA",303,26,0.2,NA,1,1,"225386",NA
1993,"GOA",303,34,0.6,NA,1,1,"225386",NA
1993,"GOA",303,39,0.9,NA,1,1,"225386",NA
