"YEAR","FMP_AREA","SPECIES","LENGTH","WEIGHT","AGE","SPECIMEN_TYPE","PERFORMANCE","HAUL_JOIN","PORT_JOIN"
1990,"GOA",303,36,0.75,NA,1,1,"937583",NA
1990,"GOA",303,36,0.8,NA,1,1,"937583",NA
1990,"GOA",303,37,0.9,NA,1,1,"937583",NA
1990,"GOA",303,40,1.05,NA,1,1,"937583",NA
1990,"GOA",303,41,1.1,NA,1,1,"937583",NA
1990,"GOA",303,42,1.2,NA,1,1,"937583",NA
1990,"GOA",303,35,0.45,NA,1,1,"937581",NA
1990,"GOA",303,35,0.7,NA,1,1,"937581",NA
1990,"GOA",303,36,0.5,NA,1,1,"937581",NA
1990,"GOA",303,37,0.8,NA,1,1,"937581",NA
1990,"GOA",303,37,0.85,NA,1,1,"937581",NA
1990,"GOA",303,38,0.75,NA,1,1,"937581",NA
1990,"GOA",303,38,0.85,NA,1,1,"937581",NA
1990,"GOA",303,38,0.85,NA,1,1,"937581",NA
1990,"GOA",303,38,0.9,NA,1,1,"937581",NA
1990,"GOA",303,38,0.95,NA,1,1,"937581",NA
1990,"GOA",303,39,0.9,NA,1,1,"937581",NA
1990,"GOA",303,39,1.05,NA,1,1,"937581",NA
1992,"GOA",303,37,0.7,NA,1,1,"162962",NA
1992,"GOA",303,37,0.7,NA,1,1,"162962",NA
1992,"GOA",303,37,0.78,NA,1,1,"162962",NA
1992,"GOA",303,38,0.75,NA,1,1,"162962",NA
1992,"GOA",303,33,0.45,NA,1,1,"162956",NA
1992,"GOA",303,33,0.49,NA,1,1,"162956",NA
1992,"GOA",303,33,0.5,NA,1,1,"162956",NA
1992,"GOA",303,34,0.54,NA,1,1,"162956",NA
1992,"GOA",303,34,0.55,NA,1,1,"162956",NA
1992,"GOA",303,34,0.58,NA,1,1,"162956",NA
1992,"GOA",303,35,0.55,NA,1,1,"162956",NA
1992,"GOA",303,35,0.55,NA,1,1,"162956",NA
