"YEAR","HAUL_DATE","SPECIES","FMP_AREA","EXTRAPOLATED_WEIGHT"
2017,2017-05-30,303,"GOA",223.32
2017,2017-05-30,303,"GOA",19.23
2017,2017-05-31,303,"GOA",88.42
2017,2017-05-31,303,"GOA",288.32
2017,2017-05-31,303,"GOA",761.06
2017,2017-05-25,303,"GOA",71.4
2017,2017-05-25,303,"GOA",380.03
2017,2017-09-18,303,"GOA",6.1
2017,2017-09-10,303,"GOA",90.87
2017,2017-09-18,303,"GOA",7.09
2017,2017-02-17,303,"GOA",50.24
2017,2017-02-18,303,"GOA",29.63
2017,2017-02-18,303,"GOA",25.93
2017,2017-12-23,303,"GOA",7.75
2017,2017-12-24,303,"GOA",3.88
2017,2017-10-09,303,"GOA",14.76
2017,2017-10-10,303,"GOA",3.36
2017,2017-10-11,303,"GOA",19.17
2017,2017-10-12,303,"GOA",14.26
2017,2017-10-12,303,"GOA",13.42
2017,2017-10-13,303,"GOA",334.66
2017,2017-10-13,303,"GOA",20.13
2017,2017-10-13,303,"GOA",55.36
2017,2017-10-13,303,"GOA",70.46
2017,2017-10-14,303,"GOA",25.16
2017,2017-10-14,303,"GOA",5.03
2017,2017-10-14,303,"GOA",5.03
2017,2017-09-21,303,"GOA",37.4
2017,2017-09-22,303,"GOA",79.8
2017,2017-09-22,303,"GOA",4.99
2017,2017-09-23,303,"GOA",139.64
2017,2017-10-28,303,"GOA",21.39
2017,2017-10-28,303,"GOA",90.31
2017,2017-10-29,303,"GOA",8.95
2017,2017-10-29,303,"GOA",20.13
2017,2017-10-30,303,"GOA",20.13
2017,2017-10-31,303,"GOA",20.13
2017,2017-11-02,303,"GOA",50.33
2017,2017-11-04,303,"GOA",73.81
2017,2017-11-04,303,"GOA",20.13
2017,2017-11-04,303,"GOA",16.78
2017,2017-11-05,303,"GOA",16.78
2017,2017-11-05,303,"GOA",5.87
2017,2017-11-06,303,"GOA",4.75
2017,2017-10-15,303,"GOA",23.49
2017,2017-10-15,303,"GOA",10.07
2017,2017-10-15,303,"GOA",19.57
2017,2017-10-15,303,"GOA",182.01
2017,2017-11-07,303,"GOA",46.97
2017,2017-11-08,303,"GOA",127.6
2017,2017-11-08,303,"GOA",19.2
2017,2017-11-09,303,"GOA",155.53
2017,2017-11-11,303,"GOA",16.8
2017,2017-11-11,303,"GOA",9
2017,2017-11-11,303,"GOA",8.4
2017,2017-11-12,303,"GOA",21.6
2017,2017-11-13,303,"GOA",100.8
2017,2017-11-13,303,"GOA",204.01
2017,2017-11-13,303,"GOA",32.4
2017,2017-11-14,303,"GOA",113.4
2017,2017-10-16,303,"GOA",82.2
2017,2017-10-24,303,"GOA",60.39
2017,2017-10-26,303,"GOA",12.58
2017,2017-10-27,303,"GOA",74.15
2017,2017-10-28,303,"GOA",193.75
2017,2017-11-16,303,"GOA",9
2017,2017-11-16,303,"GOA",36
2017,2017-11-18,303,"GOA",64.8
2017,2017-11-19,303,"GOA",108.9
2017,2017-10-17,303,"GOA",60.39
2017,2017-10-18,303,"GOA",52.84
2017,2017-11-19,303,"GOA",180.01
2017,2017-10-19,303,"GOA",5.59
2017,2017-10-21,303,"GOA",17.25
2017,2017-10-22,303,"GOA",26.84
2017,2017-10-23,303,"GOA",13.42
2017,2017-10-23,303,"GOA",281.82
2017,2017-11-14,303,"GOA",5314.09
2017,2017-11-14,303,"GOA",307.9
2017,2017-11-08,303,"GOA",5276
2017,2017-11-14,303,"GOA",7005.71
2017,2017-03-09,303,"GOA",7.54
2017,2017-03-10,303,"GOA",25.43
2017,2017-03-21,303,"GOA",72.41
2017,2017-03-21,303,"GOA",32.58
2017,2017-03-22,303,"GOA",60.34
2017,2017-03-25,303,"GOA",315.38
2017,2017-03-28,303,"GOA",36.2
2017,2017-03-28,303,"GOA",42.24
2017,2017-04-10,303,"GOA",42.46
2017,2017-05-06,303,"GOA",45.12
2017,2017-05-06,303,"GOA",83.6
2017,2017-03-06,303,"GOA",12.37
2017,2017-05-17,303,"GOA",538.59
2017,2017-05-17,303,"GOA",12.68
2017,2017-05-17,303,"GOA",1796.41
2017,2017-05-18,303,"GOA",258.31
2017,2017-03-07,303,"GOA",6.28
2017,2017-03-07,303,"GOA",89.45
2017,2017-03-08,303,"GOA",6.28
2017,2017-03-07,303,"GOA",25.11
2017,2017-03-08,303,"GOA",45.2
2017,2017-03-13,303,"GOA",10.36
2017,2017-03-06,303,"GOA",6.59
2017,2017-03-06,303,"GOA",31.07
2017,2017-03-06,303,"GOA",15.54
2017,2017-03-14,303,"GOA",15.54
2017,2017-03-16,303,"GOA",9.42
2017,2017-09-08,303,"GOA",48.3
